Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1992:Q2,Black,4.6,4.8,4.9,6.5,1.2,9.8,6.9,3,2.5,6.2,5.3,9.6,4.1,6.942950211066163
1992:Q2,Hispanic,2.1,2.6,3.6,3.5,0.6,2.7,2,3.2,1.5,5.3,5.3,6,2.2,2.0219526716395415
1992:Q2,Other,4.4,4.5,4.6,5,3,3.2,3.6,8.1,4.3,5.2,5.5,3.9,6.5,3.600808154361064
1992:Q3,White,88.8,88.1,87,85.1,95.2,84,87.2,85.6,91.6,83.6,84.1,80.7,87.2,87.24450102553222
1992:Q3,Black,4.7,4.9,4.9,6.4,1.2,9.9,7.1,3.2,2.5,6.3,5.4,9.6,4.3,7.132609037674055
1992:Q3,Hispanic,2.1,2.5,3.4,3.5,0.6,2.7,2,3.2,1.4,5.1,5.1,5.9,1.7,1.9648937444699925
1992:Q3,Other,4.5,4.6,4.7,5,3,3.4,3.7,8,4.4,5.1,5.3,3.8,6.7,3.6579961923237363
1992:Q4,White,88.9,88.2,87.1,85.4,95.3,83.8,87,86.4,91.5,83.7,84.3,80.7,87.9,87.0343326190117
1992:Q4,Black,4.6,4.8,4.9,6.3,1.2,9.8,7,3.1,2.6,6.3,5.5,9.6,4.2,6.969883801673918
1992:Q4,Hispanic,2,2.4,3.4,3.5,0.5,2.7,2.2,3,1.5,5,5,5.7,1.6,2.229781720641624
1992:Q4,Other,4.5,4.6,4.6,4.9,3,3.8,3.8,7.6,4.5,5.1,5.3,3.9,6.3,3.7660018586727517
1993:Q1,White,88.9,88.2,87.1,85.1,95.3,83.5,86.9,87.1,91.5,84,84.5,80.8,88.9,86.85933794469679
1993:Q1,Black,4.6,4.8,5,6.6,1.2,9.7,6.9,3,2.6,6.2,5.4,9.6,4,6.868911617891101
1993:Q1,Hispanic,2.1,2.4,3.4,3.3,0.5,2.7,2.4,2.8,1.5,4.8,4.8,5.6,1.6,2.4347892963151305
1993:Q1,Other,4.5,4.5,4.4,5,3,4.1,3.8,7.2,4.5,5,5.2,3.9,5.6,3.8369611410969813
1993:Q2,White,89,88.3,87.2,85.4,95.3,83.3,86.8,87.9,91.4,84,84.6,80.9,89.5,86.79727944958348
1993:Q2,Black,4.5,4.8,5,6.4,1.2,9.6,6.7,2.8,2.6,6.3,5.5,9.6,3.8,6.692499748001459
1993:Q2,Hispanic,2,2.4,3.3,3.3,0.5,2.8,2.6,2.5,1.5,4.7,4.7,5.5,1.5,2.605018777122151
1993:Q2,Other,4.4,4.5,4.4,4.9,3,4.3,3.9,6.8,4.4,4.9,5.2,4,5.2,3.9052020252929
1993:Q3,White,89.1,88.4,87.4,85.8,95.3,83.1,86.7,88.6,91.4,84.1,84.5,80.9,90.4,86.74125478155041
1993:Q3,Black,4.5,4.7,5,6.2,1.1,9.5,6.6,2.7,2.6,6.4,5.7,9.6,3.6,6.554020323194286
