Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2020:Q3,College,83300439,93009939,20660461,3186295,25041328,10208831,7875330,9743471,16294222,9709500,6744471,2258819,706210
2020:Q3,SomeCollege,18556988,21769295,5925346,1385640,2793441,4388797,1945215,1712341,3618514,3212307,2002659,1094634,115014
2020:Q3,HS,12115400,14497717,4328840,1128118,1902002,2420798,1348459,1236069,2133431,2382317,1668247,631841,82229
2020:Q3,NoHS,2088010,2587098,1039684,284116,222337,334163,155051,170552,381194,499088,317777,157377,23934
2020:Q4,College,89637192,99522895,21294817,3268938,29043375,10341316,8500174,10101336,16972939,9885703,6841535,2278740,765428
2020:Q4,SomeCollege,19500769,22738834,6078807,1413103,3270438,4417658,2105782,1750584,3702461,3238064,2002498,1102161,133405
2020:Q4,HS,12937090,15367005,4480294,1165715,2315844,2475829,1461459,1270456,2197409,2429915,1701946,646358,81611
2020:Q4,NoHS,2140684,2641748,1050683,286664,259795,332996,159090,170759,381761,501064,316395,157594,27075
2021:Q1,College,93270150,103276130,22120585,3331207,31025406,10406954,8707016,10437980,17246983,10005980,6922727,2275154,808099
2021:Q1,SomeCollege,20162332,23424000,6294901,1447860,3517199,4446389,2155046,1800645,3761960,3261668,2015806,1096163,149699
2021:Q1,HS,13434040,15874385,4668377,1192887,2515836,2489318,1494496,1301146,2212326,2440346,1724616,639431,76299
2021:Q1,NoHS,2237641,2745725,1093593,298891,281530,336119,161454,175258,398881,508084,321745,156443,29896
2021:Q2,College,97611740,107794075,23194378,3487030,33268740,10462399,9110410,10987280,17283839,10182336,7049711,2309209,823416
2021:Q2,SomeCollege,21121270,24472215,6625478,1542846,3824713,4503395,2284597,1891309,3799876,3350944,2065447,1127725,157772
2021:Q2,HS,14076500,16567389,4915386,1264380,2747733,2509213,1564802,1347379,2218496,2490889,1760531,657713,72645
2021:Q2,NoHS,2389130,2920472,1168199,331813,311606,345390,169375,184582,409507,531342,335127,164616,31599
2021:Q3,College,99886046,110301306,24329761,3621333,33508774,10534989,9119116,11713329,17474004,10415261,7208785,2359351,847125
2021:Q3,SomeCollege,21490985,24902799,6903456,1600020,3827164,4504352,2272581,1981125,3814101,3411814,2108557,1143701,159556
2021:Q3,HS,14374342,16912864,5142292,1315542,2753678,2514332,1557829,1400932,2228259,2538522,1792618,667530,78374
2021:Q3,NoHS,2451454,2991236,1216204,348261,311510,345256,168757,190779,410470,539782,340636,166836,32310
2021:Q4,College,102994280,113623528,24767999,3734836,35038335,10622856,9453734,12188691,17817077,10629248,7355145,2400758,873345
2021:Q4,SomeCollege,21974015,25439547,7011148,1648989,4002742,4526679,2350044,2040549,3859397,3465532,2154358,1165652,145522
2021:Q4,HS,14884880,17537800,5291256,1378442,2940119,2569105,1630244,1455979,2272654,2652919,1850287,694174,108458
2021:Q4,NoHS,2489177,3035543,1227079,359350,324780,345517,170097,193914,414806,546366,344785,170222,31359
2022:Q1,College,104239464,114976712,26983051,3849184,33697513,10663630,9033723,12571904,18177707,10737248,7430872,2424539,881837
2022:Q1,SomeCollege,22349405,25845230,7597587,1701569,3816361,4524424,2211570,2086538,3907181,3495824,2186701,1168092,141031
2022:Q1,HS,15415606,18123582,5859171,1444496,2823457,2603224,1568903,1504928,2319403,2707976,1886895,703407,117674
2022:Q1,NoHS,2543603,3081005,1307115,368807,303061,338857,161014,193627,408524,537402,340402,166584,30416
2022:Q2,College,99704494,110619639,28352550,3917529,28244575,10662171,8146005,13109962,18186847,10915145,7585143,2476177,853825
2022:Q2,SomeCollege,21894065,25454397,8031046,1728205,3138318,4524652,1960019,2162353,3909803,3560332,2238612,1202408,119312
2022:Q2,HS,14984102,17781366,6171633,1472653,2248181,2600237,1410695,1551396,2326571,2797264,1931831,729907,135526
2022:Q2,NoHS,2567527,3122023,1391770,375241,248214,341794,152449,200969,411587,554496,351866,174918,27712
2022:Q3,College,97699410,108831326,27611947,4008524,26814640,10765708,7856366,13316852,18457289,11131916,7743624,2533105,855187
2022:Q3,SomeCollege,21471313,25089956,7821881,1764257,2952690,4559662,1867236,2185984,3938245,3618643,2276356,1230544,111743
2022:Q3,HS,14390013,17213975,5888427,1484335,2060983,2589417,1333328,1542176,2315309,2823961,1942624,738109,143228
2022:Q3,NoHS,2495109,3058924,1347584,381427,231498,343719,147523,201786,405387,563815,357702,179317,26796
2022:Q4,College,99324550,110589621,27131998,4042048,28237749,10900833,8179241,13187100,18910653,11265071,7865340,2587555,812176
2022:Q4,SomeCollege,21525923,25158345,7624931,1769962,3106088,4590224,1938693,2155362,3973086,3632422,2293645,1257194,81583
2022:Q4,HS,14304240,17176465,5706472,1479547,2176016,2601545,1370904,1514468,2327513,2872226,1951783,754822,165621
2022:Q4,NoHS,2482114,3054241,1322616,386696,246058,349170,151017,200801,397883,572127,363847,186179,22101
2023:Q1,College,102001604,113326304,26839635,4099732,29954002,11016179,8553602,13225194,19637960,11324700,7933701,2595956,795043
2023:Q1,SomeCollege,21723430,25344636,7485806,1778430,3285365,4598934,2026868,2143117,4026116,3621206,2275968,1250073,95165
2023:Q1,HS,14459410,17300867,5586043,1488303,2326020,2611691,1424241,1506685,2357884,2841457,1954463,750479,136515
2023:Q1,NoHS,2400131,2959442,1266657,378876,255199,341979,151136,195043,370551,559311,355535,180904,22872
