Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2012:Q2,pct20to40,3215664,4194917,1491871,469730,246877,751482,112286,194497,928174,979253,617948,331397,29908
2012:Q2,pct00to20,2035906,2721540,954614,280511,275723,186858,49664,408378,565793,685634,317015,280481,88138
2012:Q3,pct99to100,14415702,15243047,2209808,550299,4911465,225585,701019,2556768,4088104,827345,595619,49359,182367
2012:Q3,pct80to99,31461394,37275656,8191001,1673335,6497492,6441961,4069544,3129211,7273113,5814262,4623685,930474,260103
2012:Q3,pct60to80,10293870,13325780,3398296,1019892,1141167,3531526,1271043,678872,2284984,3031910,2252682,705853,73375
2012:Q3,pct40to60,5577891,7365580,2100932,710424,611600,1738564,477796,318082,1408181,1787688,1210490,541505,35693
2012:Q3,pct20to40,3248465,4228898,1500155,470142,254255,766832,117830,188615,931069,980433,610884,340645,28904
2012:Q3,pct00to20,2022955,2699035,955852,276642,270402,189852,49165,395281,561841,676080,304313,282618,89149
2012:Q4,pct99to100,14707810,15527351,2249566,565094,4934236,211233,706945,2679195,4181083,819542,597011,52385,170146
2012:Q4,pct80to99,31867884,37682684,8303505,1683816,6572361,6465497,4090290,3185426,7381789,5814799,4635601,941449,237749
2012:Q4,pct60to80,10495222,13510996,3448718,1026373,1143850,3589192,1301796,691858,2309209,3015774,2218401,729022,68351
2012:Q4,pct40to60,5579290,7349857,2088162,704845,619989,1745413,477691,311317,1402441,1770567,1177160,555553,37854
2012:Q4,pct20to40,3242925,4240370,1501411,472832,250725,781573,119603,183001,931225,997445,608466,361182,27797
2012:Q4,pct00to20,2003197,2672188,950675,274527,260716,192383,48990,381313,563583,668991,300433,273314,95244
2013:Q1,pct99to100,15659477,16475672,2336209,586684,5712004,208688,742781,2788662,4100644,816194,584777,47958,183459
2013:Q1,pct80to99,33082576,38897631,8556843,1687884,7244529,6635949,4259118,3229172,7284137,5815055,4604054,960286,250715
2013:Q1,pct60to80,10933518,13982311,3533671,1030821,1291811,3732366,1399329,702976,2291337,3048793,2258104,725278,65411
2013:Q1,pct40to60,5648099,7396419,2087728,694811,649357,1780309,504194,303864,1376156,1748321,1167844,545246,35231
2013:Q1,pct20to40,3310233,4280061,1501846,476813,269605,805296,127248,177431,921822,969828,595851,346981,26996
2013:Q1,pct00to20,1979650,2640215,942236,273942,257178,200911,48037,366704,551207,660565,277456,288024,95085
2013:Q2,pct99to100,15877652,16701807,2410008,596734,5781210,199433,748868,2987173,3978381,824155,582532,48711,192912
2013:Q2,pct80to99,33552522,39394266,8794338,1693360,7356692,6819843,4277113,3343163,7109756,5841744,4609872,973981,257891
2013:Q2,pct60to80,11167903,14228396,3647565,1032792,1303100,3840107,1431038,724641,2249153,3060493,2253847,744014,62632
2013:Q2,pct40to60,5664754,7395779,2109867,686785,658963,1810126,503772,297621,1328645,1731025,1145077,552045,33903
2013:Q2,pct20to40,3328683,4304578,1522890,476446,267052,830763,128926,169623,908877,975894,590830,358381,26683
2013:Q2,pct00to20,1961311,2610921,953373,269526,246953,207795,47721,351234,534319,649610,267765,283062,98783
2013:Q3,pct99to100,16576308,17400260,2471656,600561,6162689,191231,780043,3201835,3992245,823951,582614,48970,192367
2013:Q3,pct80to99,34588945,40471011,9011544,1706829,7709855,7016948,4425063,3467160,7133612,5882066,4635696,995569,250801
2013:Q3,pct60to80,11596725,14683351,3780284,1038007,1373842,3955521,1523329,747661,2264706,3086626,2261564,767141,57921
2013:Q3,pct40to60,5765362,7490401,2147331,684122,676064,1842437,527445,290954,1322048,1725039,1128689,563304,33046
2013:Q3,pct20to40,3383983,4367744,1558728,475410,273310,857036,135945,160984,906331,983761,587934,371039,24788
2013:Q3,pct00to20,1966875,2608439,978762,264009,238270,215220,46664,334649,530866,641564,259781,284274,97509
2013:Q4,pct99to100,17192562,18089206,2536427,609514,6640243,202544,832926,3281140,3986411,896643,589303,56869,250471
2013:Q4,pct80to99,35591863,41556619,9157793,1701427,8108340,7230334,4635143,3568045,7155536,5964756,4627031,1003023,334702
2013:Q4,pct60to80,11847649,14954288,3837587,1040073,1424903,4054341,1603286,741512,2252585,3106638,2251340,789248,66050
2013:Q4,pct40to60,5908095,7634599,2204318,686402,671943,1884933,558753,290088,1338162,1726504,1125052,578056,23396
2013:Q4,pct20to40,3429263,4423602,1580143,475973,280869,866260,144520,167586,908251,994339,584481,383008,26850
2013:Q4,pct00to20,1978664,2610375,983334,266183,242313,216273,46005,337120,519147,631711,259843,280264,91604
2014:Q1,pct99to100,17831039,18753340,2611913,625070,7085214,202960,855131,3276987,4096065,922302,596433,63847,262022
2014:Q1,pct80to99,36433529,42395412,9316842,1688952,8482959,7309350,4692921,3600960,7303429,5961883,4613311,1000478,348094
2014:Q1,pct60to80,11987696,15068134,3872574,1039683,1470137,4075364,1613365,725941,2271071,3080438,2226403,785172,68863
2014:Q1,pct40to60,5999141,7717196,2243638,683923,667411,1901369,562049,287960,1370846,1718056,1115625,581341,21090
2014:Q1,pct20to40,3462004,4451655,1585123,477619,287587,867156,146881,175963,911327,989652,581181,381608,26863
2014:Q1,pct00to20,1969965,2605340,972237,269762,246263,211860,46310,340016,518893,635375,261464,284395,89516
2014:Q2,pct99to100,18544809,19489158,2685419,635503,7593615,203925,888781,3367749,4114166,944349,605288,72703,266358
2014:Q2,pct80to99,37377609,43347690,9490048,1687656,8906753,7394503,4806393,3709914,7352423,5970081,4612416,1006624,351041
2014:Q2,pct60to80,12167349,15255612,3941374,1044852,1527475,4099852,1648939,722127,2270992,3088264,2206209,810419,71636
2014:Q2,pct40to60,6111277,7840277,2307543,688545,664441,1918901,575596,287542,1397709,1729001,1109292,599030,20679
2014:Q2,pct20to40,3494272,4499115,1609242,479770,296125,868318,151443,182065,912153,1004843,579444,398039,27360
2014:Q2,pct00to20,1975401,2608920,978725,273034,250595,207670,46250,342537,510109,633519,264711,277205,91603
2014:Q3,pct99to100,18693645,19611536,2767564,651399,7421359,203829,894966,3491471,4180948,917892,614676,80487,222729
2014:Q3,pct80to99,37788076,43709098,9676266,1684583,8810840,7466110,4782139,3845452,7443707,5921022,4618954,1019224,282844
2014:Q3,pct60to80,12145242,15243758,3996940,1050540,1459109,4116394,1622045,722637,2276093,3098516,2194429,834944,69143
2014:Q3,pct40to60,6153862,7906744,2360600,691599,647933,1933726,564138,287833,1420914,1752882,1106800,618235,27847
2014:Q3,pct20to40,3495992,4512781,1622681,483738,286018,868539,150344,187434,914027,1016789,578259,412286,26244
2014:Q3,pct00to20,1957060,2604474,974931,277985,251465,202898,46950,345065,505180,647414,267975,277804,101635
2014:Q4,pct99to100,19278595,20207582,2839428,668494,7758766,204572,920464,3612369,4203489,928988,623610,88601,216777
2014:Q4,pct80to99,38555174,44478274,9817501,1676260,9105944,7547526,4859893,3978578,7492572,5923100,4624503,1027223,271374
2014:Q4,pct60to80,12221879,15339411,4023050,1053329,1486037,4138550,1641866,723162,2273417,3117532,2186403,859817,71312
2014:Q4,pct40to60,6217027,7986678,2395992,691521,642423,1950374,571527,288201,1446640,1769651,1105583,634783,29285
2014:Q4,pct20to40,3502831,4532662,1624587,487017,290108,869275,153446,192854,915374,1029831,576683,426607,26541
2014:Q4,pct00to20,1941088,2589163,961025,282704,255080,198506,47147,347713,496988,648075,270475,272509,105091
2015:Q1,pct99to100,19886787,20830476,2915816,683963,8055155,204803,945090,3705639,4320010,943689,629540,93963,220186
2015:Q1,pct80to99,39405867,45313283,9980462,1671959,9370106,7622247,4926680,4088925,7652903,5907416,4608238,1025865,273313
2015:Q1,pct60to80,12362912,15461961,4067790,1058187,1505860,4156738,1656515,720765,2296106,3099049,2171556,852506,74987
2015:Q1,pct40to60,6328902,8092725,2443757,693976,636393,1965658,576781,288201,1487959,1763823,1099652,634657,29514
2015:Q1,pct20to40,3540330,4560991,1634726,490575,293163,869510,155958,198808,918251,1020661,572333,421023,27305
2015:Q1,pct00to20,1935256,2590908,954382,287396,258524,193814,47293,350516,498983,655653,270142,279096,106415
2015:Q2,pct99to100,20069882,21036874,3004902,702949,8094632,204382,954898,3801046,4274065,966993,639148,101376,226469
2015:Q2,pct80to99,39785880,45726154,10185683,1677557,9435532,7688669,4931987,4200805,7605921,5940273,4623710,1036545,280018
2015:Q2,pct60to80,12349399,15485292,4130655,1070278,1479483,4170014,1644454,718934,2271474,3135893,2177008,879317,79568
2015:Q2,pct40to60,6382349,8167507,2501591,701820,625515,1979274,571598,288341,1499368,1785158,1104394,651137,29627
2015:Q2,pct20to40,3546557,4580949,1649403,497797,289335,869151,156120,204686,914456,1034392,571294,434690,28408
2015:Q2,pct00to20,1930027,2583554,951212,294560,260514,188753,47910,353389,487217,653527,272294,274719,106514
2015:Q3,pct99to100,19502267,20479960,3060099,704143,7300625,202517,924844,3857658,4430074,977693,649367,108128,220198
2015:Q3,pct80to99,39430234,45393992,10319498,1685089,8837533,7737229,4746542,4280413,7787689,5963758,4642564,1053060,268134
2015:Q3,pct60to80,12178978,15350644,4220521,1078350,1303769,4172784,1549318,712879,2313023,3171667,2182036,906694,82937
2015:Q3,pct40to60,6442815,8254311,2586852,712569,596459,1989377,533523,287888,1547643,1811496,1109359,670431,31706
2015:Q3,pct20to40,3555863,4603934,1692775,498334,262871,867602,148622,211235,922495,1048072,570764,448353,28955
2015:Q3,pct00to20,1953059,2612281,976046,295859,256528,182917,49367,356365,495199,659223,275166,276471,107586
2015:Q4,pct99to100,19973294,20964933,3115000,710534,7666184,203034,958027,3896070,4416085,991640,661705,112819,217116
2015:Q4,pct80to99,40150180,46124629,10435670,1689976,9159085,7814634,4869620,4344496,7811148,5974449,4674958,1036687,262804
2015:Q4,pct60to80,12341948,15500214,4283603,1086294,1338672,4192289,1590029,705011,2304315,3158265,2187599,881486,89180
2015:Q4,pct40to60,6572754,8381336,2653846,721247,593648,2005025,549504,287183,1570884,1808582,1115937,657287,35358
2015:Q4,pct20to40,3615468,4652649,1721951,500367,268309,867797,153506,218017,922702,1037180,572202,433371,31607
2015:Q4,pct00to20,1954194,2623285,987796,298617,260686,178265,49427,359366,489129,669091,280447,278573,110071
2016:Q1,pct99to100,20349128,21352807,3187312,728484,7822486,202948,979525,3876140,4555913,1003680,668716,117305,217659
2016:Q1,pct80to99,40788512,46757522,10579099,1692910,9312963,7884584,4930058,4359308,7998600,5969009,4668590,1039766,260653
2016:Q1,pct60to80,12433101,15589628,4319325,1096421,1336432,4207358,1603063,690665,2336363,3156526,2182164,879888,94474
2016:Q1,pct40to60,6673737,8484914,2697930,727640,586296,2019193,554426,285458,1613972,1811177,1114533,659753,36891
2016:Q1,pct20to40,3649499,4680867,1729271,506592,268099,867471,155747,225620,928067,1031368,568605,430212,32551
2016:Q1,pct00to20,1953172,2625321,978524,305103,263277,173274,49664,362297,493182,672149,280472,285342,106335
2016:Q2,pct99to100,20879311,21907967,3307751,753931,8087570,228346,1003485,3953474,4573410,1028655,678921,123890,225844
2016:Q2,pct80to99,41504231,47513727,10862872,1690960,9554917,7924813,5011816,4454920,8013429,6009496,4689358,1050713,269425
2016:Q2,pct60to80,12530320,15728321,4386189,1105725,1353939,4230821,1625969,687902,2337776,3198001,2194112,903932,99957
2016:Q2,pct40to60,6751809,8584625,2752729,730493,581675,2032124,563451,285609,1638544,1832815,1122268,674264,36283
2016:Q2,pct20to40,3660080,4702004,1733306,514716,270920,864622,158969,231578,927893,1041923,567819,441519,32585
2016:Q2,pct00to20,1964339,2627065,963806,313558,266758,176159,49947,365348,491489,662725,282614,282528,97583
2016:Q3,pct99to100,21307882,22362544,3354587,746986,8380021,254177,1038391,4027829,4560553,1054662,690993,130049,233620
2016:Q3,pct80to99,42155278,48224892,10987825,1701810,9819480,7969389,5140852,4547860,8057676,6069614,4722605,1068254,278755
2016:Q3,pct60to80,12689774,15934349,4503155,1113410,1376489,4256837,1668915,685031,2330512,3244575,2207742,930815,106018
2016:Q3,pct40to60,6898992,8759877,2860542,743842,577855,2045895,580327,285783,1665633,1860885,1131916,692999,35970
2016:Q3,pct20to40,3718956,4774900,1795015,512766,274527,862018,163982,237557,929036,1055945,568767,454502,32676
2016:Q3,pct00to20,2008464,2667647,1005700,312474,270498,179236,49977,368451,481311,659183,286772,285018,87393
