Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1992:Q2,age70plus,19.8,17.4,16.5,11.7,18.8,12,0.5,13.8,30.1,2.8,2.1,3,12.9,0.5021121538000116
1992:Q2,age55to69,34.8,32.2,27.7,23.8,41.4,38,26.9,35.5,32.1,16.1,15.2,14.9,35.3,26.875086731854203
1992:Q2,age40to54,33.8,34.7,34.7,34,30.3,40.5,56.1,37.3,26.5,40.8,42.7,34.1,41.2,56.11778521537105
1992:Q2,ageunder40,11.7,15.6,21.1,30.5,9.5,9.5,16.5,13.5,11.4,40.2,40,47.9,10.6,16.505015898974737
1992:Q3,age70plus,19.6,17.3,16,11.9,18.6,12,0.5,14,30.1,2.8,2.1,2.9,12.4,0.451854834868384
1992:Q3,age55to69,34.8,32.2,27.9,24,41.7,37.5,26.8,35.5,31.8,16.3,15.3,15.2,35.6,26.75607055892588
1992:Q3,age40to54,34,35,34.8,34.3,30.4,41.1,56.4,37.3,26.8,41,43.1,33.7,41.4,56.446996366974545
1992:Q3,ageunder40,11.6,15.5,21.3,29.8,9.4,9.4,16.3,13.2,11.3,40,39.6,48.1,10.5,16.34507823923119
1992:Q4,age70plus,19.7,17.4,16,12,19.3,12.1,0.6,14.3,30,2.8,2.2,2.8,11.8,0.5571152620387986
1992:Q4,age55to69,34.8,32.2,27.8,24,41,37.5,26.8,35.4,31.7,16.2,15.2,14.8,36.4,26.780805207064066
1992:Q4,age40to54,34.1,35.1,35,34.3,30.8,40.9,56,37.5,27,41.4,43.4,34.2,41.2,56.006592240979636
1992:Q4,ageunder40,11.4,15.3,21.2,29.7,8.9,9.5,16.7,12.8,11.3,39.6,39.1,48.1,10.5,16.6554872899175
1993:Q1,age70plus,20.1,17.7,17.3,12.3,19.7,12.2,0.7,14.5,29.9,2.9,2.4,2.4,12.2,0.7485906327715754
1993:Q1,age55to69,34.5,32,27.1,23.5,40.4,37.5,26.9,35.2,31.8,16.1,15.1,14.2,37.4,26.86154819230379
1993:Q1,age40to54,34.1,35.2,35,33.7,31.2,40.8,55.5,37.8,27.2,41.9,43.9,35.3,40.1,55.524593565873126
1993:Q1,ageunder40,11.3,15.1,20.6,30.5,8.7,9.6,16.9,12.4,11.1,39.1,38.6,48.1,10.3,16.86526760905151
1993:Q2,age70plus,20.1,17.7,17.1,12.4,20,12.3,0.8,14.8,29.8,2.9,2.4,2.2,11.5,0.8004492026846192
1993:Q2,age55to69,34.3,31.8,27.1,23.6,39.8,37.5,26.8,35.1,31.6,16,15.1,13.8,38.2,26.79727919639759
1993:Q2,age40to54,34.3,35.4,35.3,33.8,31.7,40.7,55.3,38.1,27.4,42.3,44.3,35.9,40.1,55.2861114826467
1993:Q2,ageunder40,11.3,15,20.6,30.2,8.4,9.6,17.1,12.1,11.1,38.8,38.2,48.1,10.1,17.116160118271086
1993:Q3,age70plus,20,17.7,16.7,12.5,20.4,12.3,0.9,15,29.7,2.8,2.3,2.1,12.3,0.8704040087691826
