Date,Bottom50,50-90,90-99,99-99.9,Top0.1,Grand Total
2015:Q2,988541,24942526,32436603,15070136,10626287,84064093
2015:Q3,990531,24854846,32111508,14734850,10371478,83063213
2015:Q4,1093838,25213980,32656097,15070373,10573551,84607839
2016:Q1,1138566,25500028,33143301,15320160,10745095,85847150
2016:Q2,1142222,25805870,33704632,15635197,11002170,87290091
2016:Q3,1208179,26190015,34229574,15968211,11183366,88779345
2016:Q4,1263660,26441376,34430727,16016209,11111141,89263113
2017:Q1,1366960,27040528,35330424,16502472,11402938,91643322
2017:Q2,1431157,27472943,36025218,16835013,11658284,93422615
2017:Q3,1493433,27947106,36663610,17145805,11787224,95037178
2017:Q4,1566159,28486264,37585760,17698872,12119227,97456282
2018:Q1,1683099,28917974,38015549,17826910,12131291,98574823
2018:Q2,1740982,29261536,38514352,18030942,12236837,99784649
2018:Q3,1778053,29711496,39285781,18461372,12512662,101749364
2018:Q4,1771055,29302079,38062090,17339699,11605318,98080241
2019:Q1,1913348,30448310,40287915,18789533,12637683,104076789
2019:Q2,1944457,30893521,41118349,19171150,12938799,106066276
2019:Q3,2005774,31179935,41402237,19208122,12856994,106653062
2019:Q4,2086792,31886601,42623453,20074380,13423467,110094693
2020:Q1,2095996,31261686,40476517,18282332,12097940,104214471
2020:Q2,2328820,32796168,43184495,20257609,13404246,111971338
2020:Q3,2471883,33685421,44598374,21211622,14093538,116060838
2020:Q4,2702076,35248278,47403144,23256068,15606170,124215736
2021:Q1,2925497,36362037,49025672,24413028,16377928,129104162
2021:Q2,3166244,37789994,51091209,25745516,17405677,135198640
2021:Q3,3319800,38668438,52122755,26218911,17872922,138202826
2021:Q4,3403955,39526537,53601404,27181981,18628475,142342352
2022:Q1,3738767,40832102,54257272,27156708,18563230,144548079
2022:Q2,3797681,40640384,52324053,25234666,17153403,139150187
2022:Q3,3570547,39782465,51306967,24587126,16808740,136055845
2022:Q4,3423439,39824034,51968255,25149395,17271704,137636827
2023:Q1,3443123,40192728,53002104,25950674,17995945,140584574
