Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2007:Q3,Black,2531021,3642392,1344458,278709,101175,918898,407255,177471,414426,1111371,867267,238197,5907
2007:Q3,Hispanic,1769388,2762234,1248235,239168,174956,335287,195765,311402,257420,992846,784322,191554,16970
2007:Q3,Other,3931584,5259836,1922337,322103,528561,730339,330284,746750,679461,1328252,1062022,248630,17600
2007:Q4,White,57572140,67906746,18815421,3613934,12390028,8646378,4840517,7266908,12333560,10334605,7894734,1907890,531981
2007:Q4,Black,2501542,3610883,1317520,284004,98708,930696,386786,173344,419826,1109342,855849,246442,7051
2007:Q4,Hispanic,1734162,2728167,1220704,244094,166794,341952,193014,301287,260323,994006,782368,194929,16709
2007:Q4,Other,3936106,5306641,1917846,331910,528676,737099,338528,737447,715134,1370534,1092034,260216,18284
2008:Q1,White,56010466,66436619,18290987,3646930,11386278,8717390,4598557,6912403,12884074,10426153,7957265,1890953,577935
2008:Q1,Black,2420800,3525638,1268712,285934,94071,943991,346190,161852,424888,1104839,843916,251643,9280
2008:Q1,Hispanic,1649377,2641798,1162093,250858,156967,348985,183866,275330,263699,992421,779452,195762,17207
2008:Q1,Other,3832821,5230110,1878022,338761,507324,739592,329247,679066,758098,1397289,1115965,263650,17674
2008:Q2,White,54958577,65370612,17843463,3665475,10914655,8803993,4578969,6799702,12764355,10412035,7998691,1898312,515032
2008:Q2,Black,2405664,3475357,1227202,283388,93481,961643,332662,157366,419614,1069693,804272,257620,7801
2008:Q2,Hispanic,1610741,2574009,1106434,257342,150683,357699,183237,263916,254698,963268,754635,194173,14460
2008:Q2,Other,3790575,5206880,1846673,341603,515631,742845,337500,656957,765671,1416305,1125273,270347,20685
2008:Q3,White,52889256,63381506,17399884,3679054,9470957,8874057,4298635,6572734,13086185,10492250,7962901,1901221,628128
2008:Q3,Black,2331487,3411757,1191910,287356,85271,980002,290931,150138,426149,1080269,800382,267304,12583
2008:Q3,Hispanic,1536727,2508189,1063077,263449,137659,366476,173549,246534,257445,971463,755102,198971,17390
2008:Q3,Other,3658454,5088979,1802906,346911,460866,742112,322521,615242,798421,1430525,1135493,276316,18716
2008:Q4,White,50362552,60603445,16981774,3657886,7381872,8918125,3805197,6278561,13580030,10240894,7907979,1890680,442235
2008:Q4,Black,2253161,3320028,1161562,290753,71102,997564,227454,141290,430302,1066866,785578,273496,7792
2008:Q4,Hispanic,1469296,2428609,1026944,266473,118129,374659,155379,225661,261363,959313,746449,200627,12237
2008:Q4,Other,3466104,4913439,1754739,350145,362367,735848,285129,561809,863402,1447335,1137254,278986,31095
2009:Q1,White,48866407,58997024,16577996,3637948,6513333,8934547,3683512,5969316,13680372,10130617,7896494,1830463,403660
2009:Q1,Black,2200357,3266752,1131213,291955,66282,1013542,206172,132128,425460,1066395,784599,274964,6832
2009:Q1,Hispanic,1397964,2357917,987334,270005,107547,381910,151779,204139,255203,959953,749665,200400,9888
2009:Q1,Other,3313967,4765368,1707229,351372,336000,723662,281197,505546,860362,1451401,1146269,272315,32817
2009:Q2,White,49408012,59535805,16242460,3631243,7891077,8998243,4028807,5493335,13250640,10127793,7899801,1802029,425963
2009:Q2,Black,2239220,3287945,1104130,290661,81187,1035284,233401,118423,424859,1048725,762503,277873,8349
2009:Q2,Hispanic,1374648,2319642,946630,275188,117063,391579,166383,173485,249313,944994,736682,198586,9726
2009:Q2,Other,3314500,4766169,1669781,350882,452380,717603,320755,423941,830828,1451669,1147827,270385,33457
2009:Q3,White,50964266,61078588,16005445,3616152,9288488,9068129,4400883,5373258,13326233,10114323,7862541,1796953,454829
2009:Q3,Black,2289682,3337598,1084176,286887,96660,1058023,264949,114426,432476,1047916,750484,287085,10347
2009:Q3,Hispanic,1368037,2309501,911925,279548,124998,401531,182285,162770,246444,941465,729927,201786,9752
2009:Q3,Other,3451253,4904797,1644134,348323,576696,711210,363793,397304,863338,1453544,1146497,272887,34160
2009:Q4,White,51066761,61198105,15844043,3628099,9532499,9119787,4558595,5245651,13269431,10131345,7859515,1785325,486505
2009:Q4,Black,2347473,3379099,1074877,294100,102171,1078518,273388,110157,445888,1031625,725162,294338,12125
2009:Q4,Hispanic,1383696,2308575,897052,285726,123663,410323,189972,151573,250267,924878,713459,201780,9639
2009:Q4,Other,3485826,4936199,1617209,352095,623834,700446,386374,369540,886701,1450373,1143166,273574,33633
2010:Q1,White,52045039,62152879,15779954,3616223,10076636,9289443,4720916,5349185,13320522,10107840,7807848,1733914,566078
2010:Q1,Black,2422927,3425302,1070325,294065,110466,1111336,281525,112130,445455,1002375,687998,295711,18666
2010:Q1,Hispanic,1420804,2315686,883062,289377,124100,424547,197477,152820,244302,894881,685692,197034,12155
2010:Q1,Other,3593386,5026998,1605673,351038,692552,707901,408471,375637,885726,1433612,1129079,266398,38135
2010:Q2,White,51291953,61408150,15720469,3596030,9165614,9427703,4540105,5604311,13353919,10116197,7809807,1718891,587499
2010:Q2,Black,2441464,3414787,1064843,293830,105139,1138027,250227,118178,444543,973323,652297,300411,20615
2010:Q2,Hispanic,1434406,2300135,869335,291414,114187,435104,191121,162101,236874,865730,660223,193896,11611
2010:Q2,Other,3591460,5016310,1590770,349534,654329,715409,395209,403479,907580,1424851,1120747,265254,38850
2010:Q3,White,53000163,63103640,15630010,3587738,10274124,9617038,4860055,5741289,13393386,10103477,7792155,1729056,582266
2010:Q3,Black,2522980,3476489,1051844,291330,118672,1168565,275067,120746,450264,953509,622817,310660,20032
2010:Q3,Hispanic,1462957,2306069,844443,294097,117824,447273,204487,164464,233481,843113,638319,195040,9754
2010:Q3,Other,3780369,5198615,1571933,347115,764344,729979,433196,413193,938855,1418246,1111398,268971,37877
2010:Q4,White,54476537,64575545,15427907,3595538,11178332,9803108,5121162,5849263,13600236,10099008,7659365,1834779,604864
2010:Q4,Black,2568273,3532222,1028950,296827,134099,1197073,305323,127955,441995,963949,617085,326643,20221
2010:Q4,Hispanic,1457923,2291718,828642,291975,124554,441966,207758,168764,228059,833795,623158,200437,10200
2010:Q4,Other,3857228,5271052,1554872,351102,812981,761213,463461,426240,901183,1413824,1092672,284951,36201
2011:Q1,White,55459283,65555336,15187035,3622999,11979148,9889942,5288906,5926505,13660802,10096054,7637150,1825713,633191
2011:Q1,Black,2602612,3563818,996618,299599,148691,1211675,322873,134158,450205,961206,614202,327190,19814
2011:Q1,Hispanic,1436498,2256444,798443,291416,130160,430121,205577,170825,229902,819946,613211,196202,10533
2011:Q1,Other,3953956,5352895,1534675,354226,851952,774507,481059,434137,922339,1398939,1087199,279205,32535
2011:Q2,White,55830548,65891460,15091609,3651314,11952467,9973627,5322460,5923031,13976951,10060911,7588199,1851500,621212
2011:Q2,Black,2619700,3582274,979582,307685,155175,1223809,324574,137875,453574,962575,615740,329008,17827
2011:Q2,Hispanic,1416541,2225032,791283,289806,130455,416939,197974,167848,230727,808492,605210,193681,9601
2011:Q2,Other,3951025,5340029,1527769,360244,828306,786151,485797,429337,922424,1389004,1079553,278888,30563
2011:Q3,White,54263455,64320704,15035845,3680407,10156521,10017669,4966187,5981053,14483022,10057248,7551029,1891754,614465
2011:Q3,Black,2543877,3511478,956121,302243,143104,1229639,277593,143278,459499,967600,615409,335422,16769
2011:Q3,Hispanic,1350519,2148775,764238,288727,119325,400716,174699,167951,233119,798256,595763,193282,9211
