Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1997:Q2,Bottom50,1161240,2991954,1422755,619463,103709,199361,187025,81446,378195,1830714,1072821,684166,73727
1997:Q3,TopPt1,3752008,3807999,260921,164125,1364480,17474,43302,876769,1080928,55991,22149,3012,30830
1997:Q3,RemainingTop1,5257973,5461619,698500,185660,1865679,164861,290530,1074821,1181568,203646,150596,13004,40046
1997:Q3,Next9,11311837,12238945,2429050,576354,2265977,2551715,1028650,1278204,2108995,927109,709487,118590,99032
1997:Q3,Next40,11497671,13808754,4379361,1143626,1068651,3048759,1295021,691731,2181605,2311083,1751502,473633,85948
1997:Q3,Bottom50,1185855,3036311,1438804,620295,111304,202051,196607,84668,382583,1850456,1083273,697567,69616
1997:Q4,TopPt1,3852171,3912870,267918,174380,1397961,18720,43816,921553,1088522,60699,23151,3362,34186
1997:Q4,RemainingTop1,5337033,5545169,722294,184433,1880485,170966,297435,1090426,1199129,208135,152529,13008,42598
1997:Q4,Next9,11544788,12503471,2502264,574704,2323110,2584654,1013359,1348007,2157372,958683,730276,124300,104107
1997:Q4,Next40,11636507,13993302,4425020,1158947,1106488,3073830,1303710,706460,2218846,2356795,1777127,488037,91631
1997:Q4,Bottom50,1178520,3033602,1417727,625563,115257,204659,196515,88413,385468,1855082,1071155,715458,68469
1998:Q1,TopPt1,4093495,4158034,272734,169642,1620826,20144,49643,930567,1094478,64539,24207,3496,36836
1998:Q1,RemainingTop1,5673242,5885209,743909,185319,2137863,178297,319224,1093960,1226637,211967,154974,13417,43576
1998:Q1,Next9,12098509,13089677,2553484,585449,2641285,2641906,1096367,1384532,2186654,991168,754424,125155,111589
1998:Q1,Next40,12051446,14433393,4507593,1173158,1226964,3121985,1430513,720824,2252356,2381947,1809448,477125,95374
1998:Q1,Bottom50,1247243,3084884,1434480,626567,127751,207526,208996,91588,387975,1837641,1066437,704850,66354
1998:Q2,TopPt1,4173604,4241454,279316,167856,1656605,22710,50403,936203,1128361,67851,25164,3741,38946
1998:Q2,RemainingTop1,5769879,5985737,773257,186169,2157544,192210,327519,1096852,1252186,215858,157988,13613,44257
1998:Q2,Next9,12349675,13373924,2628220,594501,2704171,2696677,1100173,1418619,2231563,1024250,773886,131006,119358
1998:Q2,Next40,12271184,14715223,4611508,1189416,1267257,3159874,1453327,735263,2298578,2444039,1854178,493154,96707
1998:Q2,Bottom50,1249499,3116157,1450763,629813,131962,209525,209612,94728,389754,1866658,1076922,726230,63506
1998:Q3,TopPt1,3971834,4043272,281090,145134,1439886,25175,45884,935113,1170989,71437,26156,3974,41307
1998:Q3,RemainingTop1,5526983,5748720,791341,190834,1861387,205554,321861,1097974,1279769,221737,161012,13828,46897
1998:Q3,Next9,12141192,13193733,2650958,622601,2420690,2739498,1006899,1447312,2305775,1052541,796356,136040,120145
1998:Q3,Next40,12276264,14773437,4734214,1207963,1194674,3186238,1361003,749718,2339627,2497173,1896793,504705,95675
1998:Q3,Bottom50,1278618,3165027,1511654,630238,124502,211406,198062,97784,391382,1886409,1084523,742171,59715
1998:Q4,TopPt1,4255165,4323713,295524,158140,1698568,25678,52490,941112,1152201,68548,25578,3826,39144
1998:Q4,RemainingTop1,6015751,6246953,829859,204384,2233379,213247,340324,1122279,1303480,231202,167262,14261,49679
1998:Q4,Next9,12914531,13984727,2757525,608877,2866433,2796518,1161086,1451436,2342853,1070197,809789,137779,122629
