Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2016:Q3,Black,5242341,1817626,1401689,415938,3424715,399894,40093,152466,146804,5662,1488,1430,58,272822,102304,238093,288686,1582016,238838,108015,1242242,1240074,695491,527408,13315,3860,2169,4000099,18393285
2016:Q3,Hispanic,3742249,1572871,1247525,325346,2169378,363160,12576,33618,31956,1661,7140,7140,0,376311,59269,125542,250678,666146,213502,61437,957341,956059,639867,295998,13493,6701,1281,2784908,12835479
2016:Q3,Other,8217673,2830636,2420200,410437,5387037,829651,102325,216979,186753,30226,99703,75990,23714,1033543,89882,245522,565578,1455088,649796,98969,1632448,1630476,1131675,402594,19904,76303,1971,6585226,13207203
2016:Q4,White,85825652,23700115,19696420,4003695,62125537,7801963,1341805,2936480,2936480,0,750380,681565,68815,19184268,1308744,1509361,5428884,11930098,9070519,863035,10140196,10114127,7146916,2378084,179285,409841,26070,75685456,81466101
2016:Q4,Black,5310111,1842902,1428715,414187,3467209,412430,39443,134519,134519,0,1200,1099,101,276192,105841,237091,301763,1609700,238870,110160,1261234,1259202,704729,539370,12064,3039,2032,4048877,18524560
2016:Q4,Hispanic,3758735,1606428,1275683,330745,2152307,359511,12683,29917,29917,0,6370,6233,137,360565,57380,124585,251042,673391,213535,63330,973081,971879,651324,301123,13641,5791,1202,2785655,12898991
2016:Q4,Other,8411904,2933344,2519464,413880,5478560,866579,100430,170084,170084,0,99190,75977,23213,1116228,96149,234477,580751,1436821,675607,102243,1668777,1666777,1155853,417859,18404,74661,2000,6743126,13315466
2017:Q1,White,87710428,24001382,19959808,4041574,63709046,7978035,1303634,2932512,2932512,0,768137,699691,68446,20238455,1314616,1549624,5634356,12025395,9100606,863676,10157201,10130279,7157747,2364585,176929,431019,26921,77553227,81417815
2017:Q1,Black,5452135,1876630,1458056,418574,3575505,430483,38594,127560,127560,0,1796,1658,139,289421,111347,245799,341719,1639357,238830,110598,1268840,1266545,709572,542825,10457,3691,2295,4183295,18636034
2017:Q1,Hispanic,3809847,1648524,1311629,336895,2161323,359940,12722,29106,29106,0,6263,5978,286,351798,56076,127006,259154,681304,213771,64184,981522,980313,659516,301314,13485,5998,1209,2828325,12947719
