Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
2004:Q1,pct80to99,25434087,8816771,7525085,1291686,16617315,1661760,650242,968052,708902,259150,218564,176165,42398,3790347,451039,559246,1815961,3817277,2456543,228286,4079397,4069873,3216785,630200,5956,216932,9523,21354690,21120859,,
2004:Q1,pct60to80,11724585,4684895,3835030,849865,7039690,950325,171925,324375,246096,78279,90500,73871,16630,936449,203691,319524,568178,2663979,672742,138003,2290076,2285749,1714653,556064,3745,11287,4328,9434509,22233565,,
2004:Q1,pct40to60,6556011,3077686,2495090,582596,3478325,463852,109190,139796,98559,41237,53750,39305,14445,515168,109934,113883,196141,1328547,354875,93190,1495599,1493217,1020412,440519,969,31316,2382,5060412,22235617,,
2004:Q1,pct20to40,3672371,1877648,1533753,343895,1794722,479011,44771,48727,32832,15895,19173,9400,9772,185989,54343,21013,58684,539669,280950,62392,761266,760126,468247,285189,784,5907,1140,2911104,22233423,,
2004:Q1,pct00to20,1802068,998596,811409,187187,803473,181504,27494,34119,26725,7394,17197,14945,2252,132552,49283,4360,11936,120819,190222,33988,322492,321476,164184,143001,382,13909,1016,1479576,22231179,,
2004:Q2,pct99to100,11296956,2803682,2318633,485049,8493273,641165,260916,1101713,870204,231509,219644,191985,27659,3335256,192033,19528,361991,177990,2122640,60396,672448,668807,528683,38845,5264,96014,3641,10624508,1121925,,
2004:Q2,pct80to99,25665917,9008411,7697679,1310733,16657506,1688109,636630,903986,665858,238128,226786,184202,42584,3682304,458705,563927,1850596,3881284,2534764,230416,4211351,4201516,3332822,637096,5771,225826,9836,21454566,21210937,,
2004:Q2,pct60to80,11977918,4844520,3976310,868210,7133398,979159,171402,299460,227085,72375,99117,82369,16748,914035,200781,331466,567780,2719063,711591,139543,2353299,2349000,1773895,559358,3688,12058,4299,9624619,22327776,,
2004:Q2,pct40to60,6716338,3212007,2610187,601820,3504331,461554,110022,127912,90801,37110,52037,36533,15504,515197,109051,116942,193818,1356272,367062,94463,1542740,1540402,1062144,445891,895,31473,2338,5173598,22330462,,
2004:Q2,pct20to40,3724489,1927223,1585928,341295,1797267,490472,42199,46193,32234,13960,20314,10084,10230,176630,53256,21022,57373,540295,286548,62964,783850,782720,489050,287381,728,5561,1130,2940639,22328473,,
2004:Q2,pct00to20,1859921,1047487,859482,188005,812434,181551,27750,24203,17407,6796,19840,17577,2263,132338,52004,4622,12520,123020,200012,34574,333889,332806,173646,145967,302,12891,1083,1526032,22325939,,
2004:Q3,pct99to100,11762008,2956601,2455139,501461,8805408,640866,235903,1174570,926780,247790,207494,179436,28057,3417078,199281,20062,358312,193094,2296122,62625,683859,680004,549446,36285,-1542,95814,3855,11078149,1126531,488255,1887006976
2004:Q3,pct80to99,26159674,9330524,8021032,1309492,16829149,1693538,622875,956753,691047,265706,223292,180562,42730,3616413,465318,572943,1863308,3948170,2630889,235650,4314666,4304655,3431706,651470,-1651,223130,10011,21845008,21299242,89350,488050
2004:Q3,pct60to80,12262445,4986883,4108696,878187,7275561,1002556,170580,321757,241032,80726,103957,87116,16841,903123,197372,345817,558092,2775830,753252,143225,2424169,2419937,1833541,575514,-1072,11955,4232,9838275,22419890,53610,89350
2004:Q3,pct40to60,6868429,3312456,2704344,608112,3555973,455703,110566,139206,97543,41663,53610,37104,16506,518457,107942,120959,187925,1384563,379535,97507,1596307,1593994,1103086,457921,-229,33216,2313,5272122,22423182,33892,53610
2004:Q3,pct20to40,3750105,1947094,1607487,339607,1803011,500267,39739,46709,31857,14853,21603,10965,10638,168934,52044,21253,55263,541004,291444,64751,809307,808203,507679,295649,-170,5046,1105,2940797,22421625,18930,33892
2004:Q3,pct00to20,1900751,1067355,876377,190977,833396,180577,27933,26923,19646,7277,21577,19337,2240,132814,54602,4928,13261,125336,209387,36059,342924,341782,179948,148036,-58,13857,1142,1557826,22418471,0,18894
2004:Q4,pct99to100,12423395,2998901,2499713,499188,9424494,679819,233353,1238969,1037062,201907,254876,226397,28479,3761727,207402,21116,396904,212747,2354063,63516,710153,706110,555695,37152,-2042,115306,4043,11713241,1130858,,
2004:Q4,pct80to99,27294467,9707735,8369259,1338476,17586732,1752757,623740,959981,762534,197447,236634,193477,43156,3895016,472708,602250,1991071,4070859,2739241,242476,4478292,4468148,3558117,666075,-2258,246215,10144,22816175,21385274,,
2004:Q4,pct60to80,12601253,5149944,4254993,894951,7451309,1008620,173911,330460,270026,60434,106567,90270,16298,979387,200492,352380,620444,2774154,756322,148572,2531675,2527400,1910054,602346,-1432,16433,4275,10069578,22509373,,
2004:Q4,pct40to60,7037404,3389826,2767950,621875,3647579,470898,111200,143239,113467,29772,49324,31597,17727,531353,110989,128004,213191,1405563,382412,101406,1627638,1625296,1131034,465782,-332,28811,2342,5409766,22513227,,
2004:Q4,pct20to40,3847035,2002767,1653987,348780,1844268,503627,40143,47165,35461,11705,21679,10472,11207,184972,56645,23480,61650,557164,280155,67587,824394,823196,513978,303857,-255,5616,1197,3022641,22512343,,
2004:Q4,pct00to20,2010844,1128569,933669,194900,882275,187901,26990,36931,30973,5958,22212,19357,2855,140573,54211,4779,12137,131857,226618,38065,345802,344678,190271,144906,-108,9608,1124,1665043,22508223,,
2005:Q1,pct99to100,12550726,3058450,2556913,501537,9492276,718746,214974,1201859,998095,203764,254596,225696,28900,3762685,206915,21825,402343,229461,2415109,63763,704561,700436,556042,35045,-5952,115302,4125,11846165,1134901,,
2005:Q1,pct80to99,27897980,10096623,8738057,1358565,17801357,1811096,604480,944562,740307,204255,228107,184523,43584,3906898,471762,612737,1970979,4153748,2850227,246762,4572688,4562467,3652756,674418,-6789,242081,10221,23325292,21468619,,
2005:Q1,pct60to80,12705213,5290057,4382414,907643,7415156,1013474,173038,314350,252041,62309,100881,85143,15738,983647,200093,349256,619061,2749335,759845,152175,2626683,2622381,2007341,600335,-4201,18906,4302,10078530,22595835,,
2005:Q1,pct40to60,7125684,3445699,2815610,630089,3679985,485962,109577,139281,108275,31006,53262,34259,19003,526062,112439,131070,213820,1419278,385372,103863,1648265,1645886,1165791,453065,-1022,28052,2379,5477420,22600200,,
2005:Q1,pct20to40,3909573,2043168,1685268,357900,1866405,506470,38983,51987,39195,12792,22180,10370,11810,189836,60424,24732,62500,571018,268839,69436,810847,809563,515131,289391,-770,5811,1285,3098725,22600190,,
2005:Q1,pct00to20,2081995,1175360,976010,199350,906636,195253,25402,31359,25021,6338,20741,17240,3501,144606,52724,4463,12156,136809,243778,39345,355382,354281,191958,152720,-389,9993,1102,1726613,22594817,,
2005:Q2,pct99to100,12986511,3150777,2637764,513013,9835734,740242,203214,1259568,1048434,211134,268564,239294,29271,3896004,208379,22725,422309,247018,2504072,63640,715305,710836,562734,34993,-3554,116662,4469,12271206,1138665,,
2005:Q2,pct80to99,28803655,10532220,9158155,1374066,18271435,1837950,593519,993970,774110,219860,225528,181609,43919,4020504,472675,633723,2014949,4246030,2982974,249611,4724274,4713841,3792723,685560,-4227,239785,10434,24079381,21548882,,
2005:Q2,pct60to80,12888405,5415636,4495351,920285,7472769,1009866,173880,328600,261827,66773,97297,82196,15102,1015592,200478,351449,645592,2728699,766524,154793,2738254,2733889,2099232,615634,-2542,21565,4365,10150151,22678919,,
2005:Q2,pct40to60,7222566,3482460,2847667,634793,3740105,495709,108865,149668,115898,33769,54603,34464,20139,526693,114255,136361,225281,1434476,388687,105508,1682615,1680219,1200426,453472,-693,27014,2395,5539951,22683736,,
2005:Q2,pct20to40,3962734,2068686,1698950,369737,1894048,506711,38472,57562,43109,14452,22420,10126,12294,199202,64420,26536,65791,585461,256745,70728,818451,817063,522001,289586,-559,6035,1388,3144283,22684750,,
2005:Q2,pct00to20,2148956,1207177,1000777,206400,941779,201157,24076,36546,29601,6946,19736,15656,4080,150119,51469,4236,11658,142164,260401,40216,366552,365465,202584,153144,-314,10052,1087,1782404,22677916,,
2005:Q3,pct99to100,13432383,3197202,2690438,506764,10235181,774108,205453,1182268,1011142,171126,276076,246519,29558,4144077,213465,23506,448615,264561,2638135,64916,725632,721684,569549,35216,-3321,120240,3948,12706750,1142155,,
2005:Q3,pct80to99,29730539,10927973,9534214,1393759,18802566,1885969,600988,918352,752935,165416,220002,175903,44098,4220353,477061,648352,2085881,4336561,3150898,258149,4883373,4873179,3936517,700257,-4125,240530,10194,24847166,21625669,,
2005:Q3,pct60to80,13115824,5584838,4654647,930191,7530986,1010574,178846,295230,244705,50524,92563,78216,14347,1071228,202326,350389,684205,2706065,778219,161341,2858016,2853708,2193330,638300,-2406,24484,4308,10257809,22758269,,
2005:Q3,pct40to60,7356174,3562462,2918954,643508,3793712,509105,110293,135494,110949,24545,56744,35769,20975,531443,116747,140305,241476,1449162,392547,110396,1721408,1718930,1235911,458203,-721,25537,2478,5634766,22763474,,
2005:Q3,pct20to40,4049907,2124815,1749179,375637,1925092,508103,39411,58244,46659,11586,22481,9941,12540,212492,68797,28009,70155,599828,243322,74251,830172,828731,529033,293994,-601,6304,1441,3219735,22765608,,
2005:Q3,pct00to20,2236610,1268461,1060411,208050,968149,208168,23271,29632,23930,5702,18324,13811,4512,156812,50658,3954,10921,147475,276203,42731,376316,375271,213652,152415,-371,9575,1045,1860294,22757182,,
2005:Q4,pct99to100,13763916,3234873,2733590,501282,10529043,799371,226113,1206463,1013162,193301,284122,254387,29736,4219987,214962,24352,471784,282308,2732992,66589,723863,720258,574340,35584,-1699,112032,3605,13040053,1145375,,
2005:Q4,pct80to99,30577040,11293467,9877250,1416217,19283573,1918246,631714,957421,756450,200971,214449,170374,44075,4289207,477928,666654,2142541,4428251,3288837,268328,5011027,5000982,4065108,713471,-2220,224624,10045,25566013,21698585,,
2005:Q4,pct60to80,13325493,5741498,4799436,942062,7583995,1006843,189098,300603,239683,60920,87728,74279,13449,1091262,202690,351153,716810,2683119,785665,169025,2966220,2961945,2277346,659530,-1251,26320,4275,10359273,22833529,,
2005:Q4,pct40to60,7494383,3636275,2982561,653715,3858108,519895,114298,142300,111667,30633,58365,36975,21390,528228,118567,145030,255366,1463848,395985,116225,1756602,1754055,1265736,462480,-419,26259,2546,5737781,22839049,,
2005:Q4,pct20to40,4136418,2178364,1795790,382574,1958053,508124,42242,64951,50373,14578,22201,9746,12455,220245,72838,29678,74002,614279,231071,78423,839978,838473,534247,298234,-366,6358,1505,3296440,22842351,,
2005:Q4,pct00to20,2327877,1327328,1116953,210375,1000549,214509,23017,29773,22897,6876,16703,11969,4734,161835,49382,3702,10282,152859,292763,45725,387593,386584,223622,151255,-241,11948,1009,1940284,22832280,,
2006:Q1,pct99to100,14543708,3247398,2735799,511599,11296310,866570,223271,1233048,1046305,186742,305020,275311,29709,4837276,189044,25234,493802,300551,2756596,65898,746467,742828,582543,36019,1356,122910,3639,13797241,1148330,,
2006:Q1,pct80to99,31554895,11454285,10025326,1428959,20100610,2022742,632553,974843,779698,195145,213321,169645,43675,4758705,452165,686891,2193754,4525092,3371541,269004,5185243,5175151,4217569,720215,1887,235479,10092,26369652,21767236,,
2006:Q1,pct60to80,13475504,5745787,4793044,952743,7729717,1018506,192887,302906,243838,59067,84229,71918,12311,1221602,191825,352848,747211,2662211,785322,170169,3068164,3063871,2361888,670961,1021,30000,4293,10407339,22904342,,
2006:Q1,pct40to60,7540927,3607668,2950805,656862,3933259,542763,114961,146588,116889,29699,57080,36083,20997,543509,115261,150168,268424,1479244,398606,116654,1785464,1782878,1297264,461880,392,23342,2586,5755463,22910101,,
2006:Q1,pct20to40,4176414,2173228,1779477,393751,2003186,512154,42710,69293,54481,14813,21152,9404,11748,245690,74174,31453,77664,629027,220982,78884,849585,847994,542544,298322,363,6765,1591,3326829,22914563,,
2006:Q1,pct00to20,2371903,1334006,1117064,216942,1037897,224301,21902,32332,25421,6911,14998,10447,4551,171552,44633,3464,9675,158474,310576,45989,398836,397852,237733,150187,248,9685,984,1973067,22902871,,
2006:Q2,pct99to100,14465379,3240677,2734828,505849,11224702,888145,233457,1209252,996394,212859,336004,306510,29495,4653431,188155,25858,498267,318269,2808677,65187,761018,757360,588877,35470,3586,129427,3658,13704361,1151024,,
2006:Q2,pct80to99,31877882,11665637,10214108,1451530,20212245,2047111,649298,991798,750142,241656,215052,172105,42947,4635024,450583,693624,2170567,4613361,3476213,269614,5350142,5340013,4365021,729464,5360,240168,10129,26527740,21831228,,
2006:Q2,pct60to80,13491062,5834586,4869927,964659,7656476,1011346,200332,296289,223708,72581,81449,70457,10992,1188878,191158,347815,744300,2635540,788095,171276,3179171,3174862,2460439,678365,2772,33286,4309,10311891,22970353,,
2006:Q2,pct40to60,7595362,3645136,2978004,667132,3950226,552298,117318,147983,110149,37834,53405,33461,19944,530265,116618,152433,268435,1492888,401530,117054,1817576,1814950,1334026,458473,1216,21236,2626,5777786,22976265,,
2006:Q2,pct20to40,4227571,2209596,1808758,400838,2017975,510947,44505,76188,57427,18760,19454,8910,10544,245352,78002,32511,78378,643280,210031,79327,853105,851429,549226,293932,1178,7093,1677,3374466,22981830,,
2006:Q2,pct00to20,2438632,1378708,1159373,219335,1059925,230413,21105,27033,18622,8411,13109,9068,4041,174554,43027,3117,9734,163774,327818,46242,413230,412273,249060,153907,831,8475,958,2025402,22968621,,
2006:Q3,pct99to100,14800232,3214114,2716305,497809,11586118,918040,254500,1217919,1024349,193570,342648,313550,29098,4832773,194867,26711,520210,336879,2877186,64384,770181,766576,591068,35486,4732,135291,3604,14030052,1153463,,
2006:Q3,pct80to99,32523113,11824032,10348000,1476032,20699081,2085188,678173,984452,770212,214240,207550,165635,41916,4778095,456306,712581,2221037,4712291,3593542,269864,5492511,5482385,4480995,749843,7659,243887,10127,27030601,21890165,,
2006:Q3,pct60to80,13617960,5908917,4931817,977100,7709042,1006473,210581,290592,226181,64412,75591,66048,9543,1229798,193572,348843,774557,2614240,792652,172143,3289910,3285597,2543530,701770,3768,36528,4313,10328050,23031205,,
