Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1991:Q2,pct80to99,43.3,43.6,42.8,36.5,46.8,43.9,59.7,44.7,41.8,45.8,50,31.3,50.1,59.74456923052644
1991:Q2,pct60to80,17.2,18.4,20.3,22.4,10.8,26.6,18.5,10.8,16,25.8,25.7,28.6,12.3,18.479608813491183
1991:Q2,pct40to60,12.1,12.4,14.1,14.6,7.1,15.8,6.6,8.5,12.4,14.1,12.5,20.5,7.7,6.5699166145455665
1991:Q2,pct20to40,7.4,7.3,9.8,9.8,3,7.5,3.3,3.3,7.7,6.4,5.1,11.2,3.9,3.3422292215391796
1991:Q2,pct00to20,3.2,3.1,4.5,4.5,1.4,3,0.5,1.7,3,2.6,1.5,6.1,3.2,0.5315936929730789
1991:Q3,pct99to100,16.7,15.1,8.3,11.7,30.9,3.2,11.5,31.2,19.1,5.6,5.4,2.3,24.8,11.527177967531486
1991:Q3,pct80to99,43,43.4,42.2,36.7,46.7,43.8,59.6,44.1,41.7,45.6,49.9,30.9,49.7,59.55116913356261
1991:Q3,pct60to80,17.4,18.5,20.4,22.4,10.7,26.7,19,11.1,16,25.4,25.4,28.3,11.9,18.961928696565803
1991:Q3,pct40to60,12.1,12.4,14.2,14.9,7.1,15.6,6.5,8.6,12.5,14.1,12.4,20.7,7.4,6.451883735118464
1991:Q3,pct20to40,7.5,7.3,10,9.8,3.1,7.6,3,3.2,7.7,6.6,5.2,11.7,3.8,3.035037625127236
1991:Q3,pct00to20,3.3,3.2,4.8,4.5,1.4,3,0.5,1.7,3,2.7,1.6,6.1,2.4,0.47280284209440543
1991:Q4,pct99to100,17.1,15.5,8.4,11.4,32.5,3.3,11.7,31.4,19.1,5.9,5.6,2.2,26.7,11.710989748773844
1991:Q4,pct80to99,42.9,43.2,42,36.7,45.9,43.7,59.3,43.5,41.8,45.4,49.7,30.5,49.3,59.31266469176736
1991:Q4,pct60to80,17.4,18.5,20.4,22.4,10.7,26.9,19.5,11.5,15.9,25.3,25.3,28.2,11.5,19.46585957823614
1991:Q4,pct40to60,12,12.3,14.1,15.1,6.6,15.4,6.4,8.8,12.5,14.1,12.5,20.8,7.1,6.367826779818099
1991:Q4,pct20to40,7.4,7.3,10,9.9,3.1,7.7,2.7,3.1,7.7,6.7,5.2,12.2,3.7,2.7343230260310487
1991:Q4,pct00to20,3.3,3.2,5,4.5,1.3,3,0.4,1.8,3.1,2.7,1.7,6.1,1.7,0.40833617537350525
1992:Q1,pct99to100,16.9,15.4,8.7,11.3,31.4,3.4,11.9,31.7,19,6.1,5.8,2.1,27.1,11.883848622885148
1992:Q1,pct80to99,42.8,43.2,42.1,36.5,46.4,43.6,59.4,42.9,41.6,45.4,49.7,30.3,47.6,59.3677408246309
1992:Q1,pct60to80,17.6,18.6,20.3,22.3,10.7,27.1,19.8,11.7,16,24.8,24.9,27.5,11.7,19.753718488179235
1992:Q1,pct40to60,12,12.3,14,15.2,6.9,15.1,6.2,8.9,12.6,14.1,12.4,21,8,6.153533201834883
1992:Q1,pct20to40,7.4,7.3,9.9,10,3.2,7.8,2.5,3,7.7,6.8,5.3,12.6,3.8,2.456186864935245
1992:Q1,pct00to20,3.4,3.3,5,4.6,1.3,3,0.4,1.8,3.1,2.9,1.9,6.4,1.9,0.38497199753459455
1992:Q2,pct99to100,16.7,15.2,8.8,11.1,30.6,3.2,12,31.9,18.8,6.3,6,2.1,28.4,12.021015625932602
1992:Q2,pct80to99,42.9,43.2,42,36.4,46.8,44,59.3,42.3,41.7,45.3,49.7,29.9,47,59.3139332227143
1992:Q2,pct60to80,17.7,18.6,20.3,22.2,10.7,26.7,20.1,12.1,16,24.5,24.6,27.2,11.5,20.133384464790918
1992:Q2,pct40to60,12,12.3,13.9,15.4,7.1,15.1,6,9,12.7,14.1,12.4,21.2,8,6.007598094806078
1992:Q2,pct20to40,7.4,7.3,9.9,10.1,3.4,8,2.2,2.8,7.8,6.9,5.3,13.1,3.8,2.1758723185828033
1992:Q2,pct00to20,3.4,3.3,5.1,4.7,1.4,3.1,0.3,1.9,3.1,2.9,2,6.5,1.5,0.3481962731732938
1992:Q3,pct99to100,16.5,15.1,8.6,10.3,30.5,3,12.2,32.3,18.8,6.4,6.1,1.9,29.2,12.17784346824497
1992:Q3,pct80to99,42.7,43,41.2,36.7,46.8,44.4,59.2,41.7,41.7,45.1,49.5,29.6,45.8,59.161474657969734
1992:Q3,pct60to80,17.7,18.7,20.5,22.3,10.7,26.2,20.6,12.4,16,24.4,24.5,27,11.5,20.554725203031417
1992:Q3,pct40to60,12.1,12.4,14,15.9,7.1,15,5.9,9.1,12.7,14.1,12.5,21.3,8.3,5.90961610770029
1992:Q3,pct20to40,7.4,7.3,10.1,10.1,3.5,8.1,1.9,2.7,7.7,7,5.4,13.6,3.7,1.8990013878233833
1992:Q3,pct00to20,3.5,3.5,5.5,4.7,1.4,3.2,0.3,1.9,3.2,3,2,6.6,1.4,0.2973391752302033
1992:Q4,pct99to100,16.9,15.4,8.6,10.3,32,2.9,12,31.9,19.1,6.3,6.1,1.9,28.5,12.015478281540961
1992:Q4,pct80to99,42.6,42.9,41,36.7,46,44.8,58.8,41.7,41.4,44.9,49.2,30,45.4,58.82442076347382
1992:Q4,pct60to80,17.6,18.6,20.6,22.4,10.7,25.9,20.3,12.4,15.9,24.5,24.6,26.9,11.8,20.311317259590687
