Date,age40to54,age55to69,age70plus,ageunder40,College,HS,NoHS,SomeCollege,BabyBoom,GenX,Millennial,Silent,incpct00to20,incpct20to40,incpct40to60,incpct60to80,incpct80to99,incpct99to100,Bottom50,Next40,Next9,RemainingTop1,TopPt1,Black,Hispanic,Other,White
2019:Q3,26818694,46585188,27070871,6178308,75110038,11604379,2152627,17786016,56657832,27712312,4703538,17579380,3321843,4413495,8046380,15931250,48695056,26245037,2005774,31179935,41402237,19208122,12856994,4560763,2630101,9965931,89496266
2019:Q4,27545628,48131004,28013497,6404566,77764961,11916568,2160313,18252852,58577739,28546685,4784358,18185911,3365214,4487521,8196333,16373184,50142976,27529467,2086792,31886601,42623453,20074380,13423467,4660489,2721172,10347182,92365851
2020:Q1,25999982,45292231,26673800,6248458,73408475,11208299,2067614,17530083,55770775,26579684,4604406,17259606,3379773,4449681,8142347,15723981,47847380,24671308,2095996,31261686,40476517,18282332,12097940,4529356,2725241,9825956,87133918
2020:Q2,27985782,48742279,28476739,6766539,79780457,11771231,2104303,18315347,59733164,29069957,4886224,18281994,3414943,4606658,8446950,16699806,51122564,27680419,2328820,32796168,43184495,20257609,13404246,4815142,2877740,10592597,93685860
2020:Q3,29056798,50477964,29465197,7060877,83300439,12115400,2088010,18556988,61818998,30564060,5070102,18607677,3466696,4695765,8646424,17277652,52767149,29207152,2471883,33685421,44598374,21211622,14093538,4980748,2996181,11027850,97056058
2020:Q4,31122298,53920132,31585326,7587980,89637192,12937090,2140684,19500769,65946950,33264855,5468857,19535072,3552126,4846757,8970762,18334032,56073559,32438499,2702076,35248278,47403144,23256068,15606170,5291480,3210270,11830375,103883610
2021:Q1,32412091,55793908,32896082,8002081,93270150,13434040,2237641,20162332,68247717,34952633,6009007,19894805,3587356,4972073,9213679,18963114,58155270,34212671,2925497,36362037,49025672,24413028,16377928,5584686,3394599,12281561,107843315
2021:Q2,34141126,58245103,34295061,8517350,97611740,14076500,2389130,21121270,71049423,37259360,6567319,20322539,3674260,5111444,9505427,19801637,60692989,36412883,3166244,37789994,51091209,25745516,17405677,5907934,3640932,12957175,112692598
2021:Q3,35010872,59231935,35063012,8897007,99886046,14374342,2451454,21490985,72388614,38495082,7035441,20283690,3757882,5206660,9720857,20227274,61997069,37293084,3319800,38668438,52122755,26218911,17872922,6063530,3837513,13470070,114831714
2021:Q4,36151351,60704768,36252044,9234188,102994280,14884880,2489177,21974015,74228199,40091209,7513078,20509867,3806068,5286241,9895199,20727815,63748365,38878663,3403955,39526537,53601404,27181981,18628475,6231283,3984995,13948866,118177208
2022:Q1,36813213,61166145,36814998,9753722,104239464,15415606,2543603,22349405,75126464,41061123,8152199,20208292,3974593,5455697,10251319,21186366,64863480,38816624,3738767,40832102,54257272,27156708,18563230,6472042,4294721,14302023,119479293
2022:Q2,35658293,58589491,35199401,9703003,99704494,14984102,2567527,21894065,72555785,39558567,8113782,18922054,4090975,5441210,10317971,20661355,62898926,35739751,3797681,40640384,52324053,25234666,17153403,6429342,4425234,13948712,114346901
2022:Q3,34790654,57676806,34328894,9259492,97699410,14390013,2495109,21471313,71648812,38643227,7839831,17923975,4075335,5347685,10141289,20189646,61540245,34761644,3570547,39782465,51306967,24587126,16808740,6235277,4308877,13749065,111762626
2022:Q4,34962414,58513613,35103313,9057487,99324550,14304240,2482114,21525923,72972224,39029546,7819977,17815081,4087477,5322376,10093079,20336712,62131680,35665503,3423439,39824034,51968255,25149395,17271704,6206666,4239646,13990247,113200268
2023:Q1,35526137,59771347,36197403,9089688,102001604,14459410,2400131,21723430,74789309,39933637,7889839,17971790,4144858,5367070,10170997,20729003,63164018,37008628,3443123,40192728,53002104,25950674,17995945,6247772,4238179,14445441,115653183
