Date,age40to54,age55to69,age70plus,ageunder40,College,HS,NoHS,SomeCollege,BabyBoom,GenX,Millennial,Silent,incpct00to20,incpct20to40,incpct40to60,incpct60to80,incpct80to99,incpct99to100,Bottom50,Next40,Next9,RemainingTop1,TopPt1,Black,Hispanic,Other,White
1996:Q2,10494278,10107081,5980238,2973317,15205103,6103597,2043857,6202357,9389298,744245,0,19421371,1130723,2257480,3193595,5042450,12405398,5525268,1094505,10435747,9974599,4697255,3352809,1104158,545567,1121060,26784129
1996:Q3,10564473,10240396,6002461,3028696,15470075,6107109,1991904,6266938,9613299,742492,0,19480235,1141305,2287159,3218904,5123998,12536953,5527707,1107283,10581543,10103066,4700157,3343976,1106580,566797,1108842,27053807
1996:Q4,10778960,10487757,6163811,3096554,16042130,6172898,1948313,6363742,9927161,867045,0,19732877,1136767,2303961,3236743,5231795,12878254,5739561,1099127,10781507,10377050,4808132,3461265,1126370,598866,1106573,27695273
1997:Q1,10842433,10569379,6176203,3186879,16297888,6173124,1907391,6396491,10097866,915491,0,19761537,1126461,2332583,3247588,5302102,13003527,5762634,1123957,10890320,10507312,4810715,3442589,1132880,630240,1101512,27910262
1997:Q2,11289505,11054554,6395549,3316008,17242301,6318671,1876936,6617710,10753758,1077010,0,20224849,1139503,2388882,3319947,5526381,13548052,6132851,1161240,11221830,10968211,5077720,3626616,1159836,663671,1116934,29115175
1997:Q3,11625954,11424971,6538861,3415558,17982983,6407196,1840272,6774893,11270380,1185318,0,20549646,1152344,2438050,3381271,5703547,13952388,6377744,1185855,11497671,11311837,5257973,3752008,1177994,696216,1122943,30008190
1997:Q4,11768856,11615009,6679933,3485221,18495417,6434404,1804128,6815070,11533350,1289032,0,20726638,1145131,2445657,3384697,5783032,14232362,6558141,1178520,11636507,11544788,5337033,3852171,1192835,739317,1118306,30498561
1998:Q1,12337518,12198739,6964872,3662805,19666207,6629571,1793105,7075052,12320081,1533436,0,21310418,1152671,2515618,3473791,6065417,14911185,7045253,1247243,12051446,12098509,5673242,4093495,1237555,784833,1138552,32002996
1998:Q2,12554158,12451726,7088748,3719208,20199566,6699898,1761972,7152403,12693623,1599351,0,21520866,1165639,2546850,3518667,6171484,15241590,7169610,1249499,12271184,12349675,5769879,4173604,1247312,826367,1147117,32593043
1998:Q3,12336010,12295469,6845771,3717642,19880627,6543874,1705022,7065370,12643241,1320786,0,21230866,1204650,2578038,3548859,6132836,14957237,6773273,1278618,12276264,12141192,5526983,3971834,1212859,844598,1126356,32011079
1998:Q4,13113362,12951290,7342625,3807485,21381165,6796564,1759807,7277227,13655913,1767985,0,21790864,1182790,2603976,3614747,6390302,15984296,7438650,1268855,12760461,12914531,6015751,4255165,1270314,868870,1188692,33886886
1999:Q1,13319045,13038321,7400287,3763369,21685286,6780587,1780728,7274420,13957514,1771007,0,21792500,1179241,2631378,3663949,6467895,16231282,7347276,1283981,12962255,13028037,6065453,4181294,1265313,859618,1190693,34205397
1999:Q2,13776476,13352401,7661903,3772870,22505792,6895931,1819137,7342790,14550971,1987900,0,22024779,1167717,2648324,3707031,6609542,16804023,7627014,1270595,13243209,13440856,6315153,4293837,1288298,863139,1219871,35192343
1999:Q3,13847934,13289980,7622278,3713148,22551549,6811202,1835740,7274849,14727810,1896703,0,21848827,1173918,2657820,3731209,6603419,16857302,7449672,1266837,13326576,13429525,6255297,4195105,1271802,852077,1217606,35131854
1999:Q4,14830060,14119862,8163532,3884750,24391767,7126331,1907375,7572730,16097767,2383339,0,22517097,1183490,2706017,3835924,6942915,18014118,8315739,1303639,13887173,14355294,6877087,4575010,1348314,877345,1298979,37473566
2000:Q1,15329295,14448657,8358615,3968843,25196311,7250829,1961074,7697195,16828481,2559307,0,22717621,1190529,2752132,3928609,7146353,18582996,8504790,1371796,14274353,14724751,7123180,4611329,1392830,890285,1329306,38492989
2000:Q2,15382963,14346007,8325825,3920716,25160122,7194842,1990719,7629827,16931828,2523307,0,22520375,1191329,2754813,3955969,7152788,18674619,8245993,1373489,14420587,14712004,7011714,4457717,1403552,893547,1324010,38354401
2000:Q3,15719224,14539325,8388054,3929663,25655989,7207375,2023162,7689740,17440686,2560406,0,22575175,1211232,2782607,4020203,7255797,19015363,8291064,1394186,14669528,14935931,7106033,4470588,1419361,893318,1343665,38919922
2000:Q4,15576001,14320722,8363100,3819477,25406953,7071036,2038736,7562575,17333295,2458392,0,22287613,1207681,2761990,4008676,7173448,18964293,7963212,1356483,14719787,14809037,6882847,4311146,1419101,895091,1324243,38440865
2001:Q1,15586231,14205675,8371755,3820073,25325681,7042778,2087927,7527348,17416035,2459221,0,22108478,1211081,2789631,4053583,7180329,19059315,7689796,1401146,14919069,14769192,6767901,4126425,1439505,919426,1327755,38297048
2001:Q2,16065100,14616313,8672801,3832877,26243335,7164190,2128544,7651021,18072823,2666203,0,22448064,1217333,2836079,4133088,7370869,19657033,7972687,1393353,15285003,15250986,7020558,4237190,1470426,913783,1370095,39432786
2001:Q3,15705928,14273778,8467962,3709953,25595537,6962341,2108466,7491278,17866490,2343990,10118,21937023,1229752,2833451,4133250,7286550,19203547,7471070,1373488,15192257,14860190,6704457,4027228,1449571,892415,1356111,38459524
2001:Q4,16179545,14918177,8896727,3744087,26737427,7163225,2163511,7674374,18589002,2673647,19354,22456534,1252112,2857433,4232841,7553256,19823771,8019124,1352139,15571464,15530646,7088912,4195377,1515700,919900,1379000,39923937
2002:Q1,16296375,15224410,9061078,3798170,27188519,7249156,2191711,7750648,19014759,2793013,25530,22546731,1257628,2851999,4314937,7760308,19989501,8205659,1379147,15808624,15769989,7200999,4221274,1603780,968146,1390254,40417853
2002:Q2,15899303,15132265,9026362,3694178,26766908,7157634,2184756,7642810,18810590,2601856,29632,22310030,1259034,2814375,4321910,7764121,19592231,8000436,1337647,15720441,15561053,7042437,4090530,1630874,991055,1358655,39771524
2002:Q3,15377272,14891148,8819909,3563118,25968158,7004892,2165422,7512976,18497327,2289172,33050,21831898,1279966,2795674,4338753,7726239,18932155,7578661,1309370,15566722,15184730,6732509,3858115,1632879,996163,1325640,38696765
2002:Q4,15552847,15393982,9033022,3561818,26615369,7080216,2182597,7663489,19030821,2313618,34671,22162560,1314743,2823264,4453964,7963703,19181971,7804025,1308355,15856906,15513590,6945989,3916830,1685152,1017961,1343795,39494763
2003:Q1,15460106,15551131,9140653,3557281,26733997,7112116,2195274,7667784,19181828,2393653,50886,22082804,1316154,2807938,4499888,8076198,19145523,7863469,1281936,15951495,15642068,6938458,3895215,1745499,1058702,1362614,39542355
2003:Q2,15962971,16353682,9560651,3645597,28092571,7300118,2223174,7907039,20136946,2676181,58675,22651100,1352005,2828931,4630232,8410096,19766041,8535597,1255350,16354868,16332469,7380116,4200099,1833475,1101834,1431566,41156027
2003:Q3,16103921,16884418,9696240,3687599,28723308,7366843,2233100,8048927,20740471,2688700,54462,22888545,1383921,2841581,4727983,8636634,19926933,8855126,1269250,16584610,16642516,7579190,4296612,1889681,1132996,1481124,41868377
2003:Q4,16603716,17772447,10110304,3754866,30074285,7579323,2261803,8325923,21681894,2997221,65070,23497148,1414725,2872374,4866778,8977048,20566320,9544087,1279162,17028716,17351328,7993303,4588823,1970274,1174844,1558979,43537236
2004:Q1,17176768,18876993,10724835,3900936,31803763,7893690,2305192,8676887,22925618,3377378,82962,24293574,1479576,2911104,5060412,9434509,21354690,10439241,1338916,17604763,18193540,8466484,5075829,2076084,1253288,1680556,45669604
2004:Q2,17335497,19307938,10722620,3977907,32182827,7986005,2326513,8848617,23490241,3433219,81526,24338976,1526032,2940639,5173598,9624619,21454566,10624508,1373003,17854691,18439316,8559084,5117867,2127041,1293816,1764961,46158144
2004:Q3,17601277,19913109,10984486,4033307,32952453,8182818,2360933,9035973,24093669,3699096,103363,24636050,1557826,2940797,5272122,9838275,21845008,11078149,1351756,18167701,18899175,8787484,5326062,2189582,1355842,1866678,47120076
2004:Q4,18307680,20845989,11320875,4221900,34500506,8472295,2352985,9370658,25332010,4190521,114774,25059139,1665043,3022641,5409766,10069578,22816175,11713241,1426824,18711082,19754806,9143690,5660042,2285687,1435591,2074324,48900841
2005:Q1,18583973,21213066,11466841,4288865,35032598,8659172,2348730,9512244,25742424,4507175,155391,25147755,1726613,3098725,5477420,10078530,23325292,11846165,1463461,18956056,20174764,9230025,5728439,2315137,1486785,2228180,49522643
2005:Q2,19012809,21816190,11760413,4377964,36002174,8909817,2342301,9713084,26441008,4921482,189660,25415226,1782404,3144283,5539951,10150151,24079381,12271206,1467994,19294334,20786802,9445845,5972402,2372462,1555755,2411455,50627705
2005:Q3,19577627,22493003,11932163,4523728,37035795,9175771,2341807,9973149,27344099,5340732,207542,25634149,1860294,3219735,5634766,10257809,24847166,12706750,1516230,19686976,21431429,9710494,6181392,2423506,1616884,2630483,51855649
2005:Q4,20065141,23132864,12104795,4637045,37940219,9425913,2337402,10236311,28176134,5659145,219946,25884621,1940284,3296440,5737781,10359273,25566013,13040053,1575102,20083554,22009457,9905589,6366143,2464918,1671218,2836023,52967686
2006:Q1,20547691,23945253,12461235,4675412,39204550,9672781,2315023,10437237,29129801,6046554,248409,26204826,1973067,3326829,5755463,10407339,26369652,13797241,1530626,20263520,22723548,10337434,6774462,2485256,1696014,3036567,54411754
2006:Q2,20593474,24089310,12386670,4652193,39196335,9739671,2277090,10508549,29396412,6013096,251633,26060504,2025402,3374466,5777786,10311891,26527740,13704361,1515949,20316185,22851391,10270353,6767767,2468951,1703241,3170684,54378770
2006:Q3,20946108,24652088,12463295,4674463,39887969,9916052,2244975,10686958,30142779,6215989,254751,26122435,2089109,3429246,5828897,10328050,27030601,14030052,1505409,20498148,23319449,10459978,6952970,2472372,1716229,3364565,55182789
2006:Q4,21421078,25314627,12645474,4731122,40855803,10142103,2222468,10891928,30974827,6607259,273138,26257077,2131212,3472952,5862878,10376250,27719237,14549771,1504736,20689069,23915402,10785647,7217446,2499942,1742212,3567776,56302371
2007:Q1,21657608,25854775,12868162,4712021,41623087,10276085,2183216,11010178,31648161,6805245,292444,26346716,2146120,3495305,5852864,10342326,28222618,15033332,1469061,20730179,24365323,11029826,7498178,2512729,1755118,3723853,57100866
2007:Q2,21820877,26188563,12930133,4688779,42041919,10369276,2138677,11078479,32141459,6958104,308428,26220361,2171808,3507101,5830636,10325737,28527042,15266027,1422549,20758866,24663366,11129072,7654499,2534404,1767702,3846034,57480212
2007:Q3,22013927,26688235,13128008,4593922,42722016,10411092,2091131,11199854,32758763,6986282,300192,26378855,2203536,3533108,5827928,10311943,28951967,15595610,1351981,20844821,25063974,11278812,7884504,2531021,1769388,3931584,58192100
2007:Q4,21625851,26581153,13132140,4404806,42395726,10291164,2048971,11008089,32683938,6893164,332387,25834461,2208260,3489042,5765555,10101358,28891211,15288523,1196490,20675508,24951325,11135204,7785423,2501542,1734162,3936106,57572140
2008:Q1,20799038,26109138,12894583,4110705,41292307,9984557,1972528,10664072,32203431,6351245,324343,25034445,2210923,3452526,5679481,9764386,28247827,14558320,1039641,20238547,24370110,10798330,7466836,2420800,1649377,3832821,56010466
2008:Q2,20246095,25963523,12615641,3940297,40636736,9780573,1903244,10445004,32108230,6016136,255797,24385394,2221701,3412192,5647741,9587607,27874270,14022045,996936,19975256,23988327,10567370,7237669,2405664,1610741,3790575,54958577
2008:Q3,19292514,25238678,12274673,3610060,39136999,9451477,1822565,10004883,31226667,5489444,288775,23411038,2219933,3356351,5573451,9202676,27059974,13003539,804376,19461490,23256249,10102247,6791562,2331487,1536727,3658454,52889256
2008:Q4,18084701,24374129,11826505,3265778,37243385,9027112,1751373,9529242,30011636,4802401,313605,22423471,2179341,3289050,5463126,8732049,26092179,11795369,669245,18917272,22324337,9482194,6158065,2253161,1469296,3466104,50362552
2009:Q1,17311283,23881340,11605599,2980473,36125141,8784436,1684978,9184140,29224682,4541831,352489,21659693,2151867,3259721,5389614,8452637,25484066,11040789,533993,18536756,21760077,9132402,5815468,2200357,1397964,3313967,48866407
2009:Q2,17351643,24319560,11743119,2922059,36729524,8790506,1654791,9161559,29802592,4652272,340669,21540846,2148030,3274535,5414039,8505624,25889887,11104266,503751,18617324,22033095,9391299,5790911,2239220,1374648,3314500,49408012
2009:Q3,17734856,25312324,12134796,2891260,38252683,8942721,1622101,9255733,30895872,5151574,380574,21645216,2187121,3294918,5489174,8676503,26714266,11711255,452451,18864171,22768251,9844304,6144060,2289682,1368037,3451253,50964266
2009:Q4,17637491,25541196,12240552,2864519,38569538,8947686,1598506,9168027,31180860,5401780,428705,21272412,2183039,3277575,5498818,8660349,26996351,11667625,414184,18905915,22929063,9923040,6111555,2347473,1383696,3485826,51066761
2010:Q1,17850241,26216833,12505582,2909501,39573704,9072384,1581831,9254237,31972706,5830817,470893,21207740,2192262,3281073,5583659,8830792,27654326,11940045,438249,19149710,23406700,10157024,6330473,2422927,1420804,3593386,52045039
2010:Q2,17420408,26136726,12356073,2846075,39185183,8973007,1538492,9062599,31913893,5733581,480074,20631734,2206322,3234045,5576994,8718530,27465992,11557399,401782,18997205,23214539,9900460,6245297,2441464,1434406,3591460,51291953
2010:Q3,17876656,27232014,12733944,2923854,40801876,9226646,1527798,9210148,33165224,6376680,530388,20694175,2249586,3252941,5667917,8936184,28465750,12194090,394920,19346923,24067605,10356650,6600370,2522980,1462957,3780369,53000163
2010:Q4,18257974,27872396,13188653,3040939,41953344,9381575,1526367,9498674,33806151,7041561,573830,20938419,2215556,3245480,5651941,9184995,29278326,12783662,373237,19635635,24672260,10762340,6916490,2568273,1457923,3857228,54476537
2011:Q1,18407954,28385492,13474699,3184204,42752315,9483370,1511737,9704927,34427144,7495419,581603,20948184,2184155,3253453,5642212,9388297,29724171,13260060,410311,19807899,25022189,11042060,7169889,2602612,1436498,3953956,55459283
2011:Q2,18302989,28525693,13724324,3264808,42981460,9509332,1499738,9827283,34531584,7779099,636713,20870418,2152179,3241302,5608178,9490521,29952753,13372880,415362,19929975,25127726,11084160,7260591,2619700,1416541,3951025,55830548
2011:Q3,17496217,27846007,13401818,3225077,41571766,9228936,1453000,9715416,33834793,7262159,564303,20307863,2135940,3214123,5550535,9357539,29138109,12572871,409553,19692812,24397341,10522661,6946752,2543877,1350519,3811266,54263455
2011:Q4,17716960,28416334,13776229,3361315,42491065,9361870,1454764,9963139,34412816,7835279,621941,20400803,2094600,3214041,5541560,9567279,29775636,13077723,406638,19967431,24886555,10804072,7206142,2576056,1333440,3901804,55459538
2012:Q1,18108802,29226030,14283090,3577335,43834335,9598118,1466354,10296451,35295227,8620723,676392,20602916,2040270,3222097,5550096,9893914,30657962,13830920,453728,20343911,25535541,11276781,7585297,2648007,1335031,4024857,57187364
2012:Q2,17884073,29303842,14345692,3672413,43796515,9562242,1451064,10396198,35398234,8718406,664425,20424955,2035906,3215664,5533468,9988679,30641663,13790640,485126,20446266,25481159,11172250,7621219,2634184,1305577,4046138,57220122
2012:Q3,18263058,30071473,14818358,3867388,45043887,9756864,1467095,10752432,36193275,9403284,734086,20689632,2022955,3248465,5577891,10293870,31461394,14415702,514605,20878420,26093301,11558085,7975867,2666730,1297126,4167527,58888894
2012:Q4,18327913,30463286,15031399,4073729,45628284,9795000,1477631,10995414,36752172,9815714,706111,20622332,2003197,3242925,5579290,10495222,31867884,14707810,587425,21168719,26358941,11676042,8105201,2716593,1310004,4262527,59607204
2013:Q1,19006641,31503530,15754225,4349157,47434566,10196771,1533748,11448468,37736000,10982398,995037,20900118,1979650,3310233,5648099,10933518,33082576,15659477,597355,21835121,27403672,12230235,8547170,2798507,1317728,4504869,61992449
2013:Q2,19211724,31781244,15942812,4617045,47970796,10274343,1562957,11744729,38144627,11583537,1088729,20735932,1961311,3328683,5664754,11167903,33552522,15877652,653317,22228189,27744699,12303724,8622895,2866125,1347972,4667097,62671631
2013:Q3,19794558,32747167,16412303,4924170,49528155,10484272,1604811,12260961,39291474,12480992,1157206,20948525,1966875,3383983,5765362,11596725,34588945,16576308,731243,22912964,28561230,12695391,8977371,2964738,1386141,4915237,64612082
2013:Q4,20158272,33798865,16999421,4991538,51075342,10647063,1713747,12511944,40586538,13006546,1302961,21052051,1978664,3429263,5908095,11847649,35591863,17192562,767807,23384203,29344873,13188826,9262387,3083497,1505065,5109515,66250019
2014:Q1,20292586,34724510,17652324,5013953,52496363,10684277,1826798,12675936,41714662,13325114,1437943,21205655,1969965,3462004,5999141,11987696,36433529,17831039,823308,23693014,29970192,13636846,9560014,3173293,1620252,5253625,67636204
2014:Q2,20566520,35760409,18290143,5053646,54100466,10724523,1946367,12899361,42969811,13738612,1530780,21431515,1975401,3494272,6111277,12167349,37377609,18544809,887981,24070938,30675447,14127143,9909207,3275086,1746806,5426816,69222010
2014:Q3,20409264,36144020,18678114,5002478,54665489,10565301,2061158,12941928,43498861,13732608,1630964,21371443,1957060,3495992,6153862,12145242,37788076,18693645,910735,24234133,30939269,14179875,9969863,3339493,1862769,5497928,69533686
2014:Q4,20531345,36937449,19261309,4986492,55954196,10506825,2183761,13071813,44428613,14048361,1780079,21459542,1941088,3502831,6217027,12221879,38555174,19278595,919246,24469159,31521942,14551842,10254405,3428768,1982415,5646590,70658822
2015:Q1,20718879,37809893,19907558,5023723,57409459,10479012,2318952,13252630,45501557,14419407,1985095,21553994,1935256,3540330,6328902,12362912,39405867,19886787,983268,24815157,32176819,14938305,10546504,3539963,2118060,5837543,71964488
2015:Q2,20634512,38161227,20292781,4975575,58016684,10324287,2442206,13280918,45971628,14527549,2144564,21420353,1930027,3546557,6382349,12349399,39785880,20069882,988541,24942526,32436603,15070136,10626287,3609262,2234315,5941948,72278569
2015:Q3,20054148,37893953,20278625,4836488,57415088,9958906,2531549,13157671,45861899,13985201,2165023,21051090,1953059,3555863,6442815,12178978,39430234,19502267,990531,24854846,32111508,14734850,10371478,3608070,2306875,5934886,71213382
2015:Q4,20247011,38692804,20797357,4870667,58684681,9881889,2668277,13372992,46906841,14318437,2307618,21074943,1954194,3615468,6572754,12341948,40150180,19973294,1093838,25213980,32656097,15070373,10573551,3717735,2431040,6110711,72348354
