Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities,share
1998:Q1,BabyBoom,35,37.9,41.8,43.6,33.5,36.2,55,39.4,28.5,56.5,60.5,49.8,37.4,55.03914170084821
1998:Q1,GenX,4.4,5.9,7.3,12.6,5,2.9,8.7,4.9,4.2,15.5,12.8,26.6,2.9,8.722101170949626
1998:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q2,Silent,60.1,55.7,50.4,43.5,61.3,59.8,35.9,55,66.8,27.8,26.4,23.5,59.9,35.86981229747911
1998:Q2,BabyBoom,35.4,38.3,41.9,43.7,33.7,37.1,55.7,39.8,28.9,56.2,60.4,49.3,37.2,55.71980437015327
1998:Q2,GenX,4.5,6,7.7,12.7,5,3.1,8.4,5.1,4.3,15.9,13.2,27.2,2.9,8.410383332367621
1998:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q3,Silent,60.3,55.7,49.6,44,64,59,37.3,54.4,65.8,27.5,26.1,23.4,58.8,37.30470108136188
1998:Q3,BabyBoom,35.9,38.7,43.1,43.6,32.5,37.8,56.9,40.3,29.8,56.1,60.2,48.9,38.4,56.943942614602406
1998:Q3,GenX,3.8,5.5,7.4,12.4,3.5,3.2,5.8,5.3,4.4,16.4,13.7,27.7,2.8,5.751356304035712
1998:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q4,Silent,58.6,54.2,49.3,42.8,60.2,57.4,34.6,54.4,64.4,26.8,25.4,22.7,58.3,34.572198320314676
1998:Q4,BabyBoom,36.7,39.4,42.6,44.1,34.4,39.2,56.5,40.5,30.7,56.2,60.3,49.2,38.9,56.50750665492197
1998:Q4,GenX,4.8,6.4,8.1,13.1,5.5,3.4,8.9,5.2,4.8,16.9,14.2,28.1,2.9,8.920295024763348
1998:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q1,Silent,58.1,53.7,48.8,42.5,59.8,56.1,33.8,54.8,64.3,26.2,24.8,21.8,58.4,33.84751321464777
1999:Q1,BabyBoom,37.2,39.8,43.2,44.3,34.6,40.5,56.7,40.6,30.7,56.5,60.6,49.6,38.5,56.74144490403721
1999:Q1,GenX,4.7,6.4,8,13.2,5.6,3.4,9.4,4.6,5,17.3,14.6,28.6,3.1,9.411041881315024
1999:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q2,Silent,57.1,52.8,48.3,41.6,58,54.7,32.7,54.6,64.1,25.7,24.1,21.1,59.2,32.73240837216564
1999:Q2,BabyBoom,37.7,40.3,43.2,44.6,35.5,41.8,56.9,40.8,30.9,56.7,60.8,50,37.5,56.87829565496776
1999:Q2,GenX,5.2,6.9,8.5,13.8,6.5,3.5,10.4,4.6,5,17.6,15.1,28.9,3.3,10.3892959728666
1999:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q3,Silent,56.8,52.3,47.6,41.2,58.4,53.6,33.1,53.9,63.5,25,23.5,20.4,59.5,33.05124803595066
1999:Q3,BabyBoom,38.3,40.9,44,44.8,35.5,42.9,57.5,41,31.2,56.7,60.7,50.3,37.2,57.49155040125583
1999:Q3,GenX,4.9,6.8,8.4,14,6.1,3.5,9.5,5.1,5.2,18.3,15.8,29.3,3.3,9.457201562793516
1999:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q4,Silent,54.9,50.8,47.2,40.4,55.2,52,31,53.6,61.4,24.9,23,19.8,61,31.040885960056208
1999:Q4,BabyBoom,39.3,41.6,44,45.1,36.9,44.3,57.4,41.2,32.7,56.2,60.2,50.6,35.4,57.42026146574118
1999:Q4,GenX,5.8,7.6,8.8,14.5,7.9,3.7,11.5,5.2,5.8,19,16.8,29.5,3.6,11.538852574202615
1999:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q1,Silent,54,50,46.4,39.8,54.1,50.8,30.2,54,60.7,24.7,22.6,19.1,61.9,30.15173088011715
2000:Q1,BabyBoom,40,42.1,44.5,45.3,37.5,45.5,57.6,41.4,33.1,55.7,59.6,51.2,34.3,57.614861010488326
2000:Q1,GenX,6.1,7.9,9.1,14.9,8.4,3.8,12.2,4.5,6.2,19.6,17.8,29.8,3.8,12.233408109394519
2000:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q2,Silent,53.7,49.6,45.7,39.1,54.5,49.7,30.1,53.4,60.6,23.9,22.1,18.5,61.2,30.088950882648863
2000:Q2,BabyBoom,40.3,42.5,44.7,45.5,37.4,46.5,58.1,41.7,33.1,55.8,59.3,51.5,35.1,58.14080390477536
2000:Q2,GenX,6,8,9.5,15.4,8.1,3.8,11.8,4.9,6.3,20.3,18.6,30.1,3.7,11.770245212575771
2000:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q3,Silent,53,48.9,44.9,38.9,54.2,48.6,29.6,52.5,60.2,23.4,21.6,18,61.5,29.60391008610472
2000:Q3,BabyBoom,41,43,45.6,45.6,37.6,47.6,58.5,41.9,33.3,55.6,59,51.7,34.8,58.522974530287705
2000:Q3,GenX,6,8.1,9.5,15.5,8.1,3.8,11.9,5.6,6.4,21,19.4,30.3,3.7,11.873115383607582
2000:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q4,Silent,53,48.6,44.4,38,55.6,47.7,30,52.1,59.1,22.5,21,17.6,59.2,30.031332457360637
2000:Q4,BabyBoom,41.2,43.3,45.4,45.9,37.2,48.6,59.3,42.1,34.2,56,59.1,51.8,37,59.30673655871339
2000:Q4,GenX,5.8,8.1,10.2,16.1,7.1,3.7,10.7,5.8,6.7,21.6,19.8,30.6,3.8,10.661930983925973
2000:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q1,Silent,52.7,48.2,43.5,37.3,56.9,46.6,30.9,51.9,58.2,21.6,20.5,16.8,58.2,30.850529814916218
2001:Q1,BabyBoom,41.5,43.6,45.3,46.1,36.9,49.6,60.6,42.3,34.6,56.3,59.2,52.3,38.5,60.573075893904814
2001:Q1,GenX,5.9,8.2,11.2,16.5,6.2,3.7,8.6,5.8,7.2,22,20.3,30.9,3.3,8.57639429117897
2001:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q2,Silent,52,47.5,43,37,55.4,45.7,30,51.8,57.8,21,19.9,16.3,58.5,30.015411978532203
