Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2016:Q2,College,69167688,17623098,15053314,2569784,51544590,6380551,1240979,3001252,2782455,218797,735138,666015,69122,17056660,1032518,1130776,4367980,8542536,7516570,539629,8153048,8130833,5799840,1780448,122949,427596,22215,61014640,42543333
2016:Q2,SomeCollege,16517856,5487042,4285191,1201851,11030814,1379923,190929,529052,509865,19187,120641,105116,15525,1821249,264207,480707,1009878,3672230,1323480,238517,2886012,2880246,1880393,915786,43027,41040,5766,13631844,34188390
2016:Q2,HS,11874383,4536183,3577680,958503,7338200,1023269,103276,214808,202476,12332,48819,39444,9375,1027021,199555,326997,699124,2509046,927199,259085,2161891,2157456,1466102,611866,46567,32921,4435,9712492,33210170
2016:Q2,NoHS,3503781,1469712,1090467,379244,2034069,287011,18551,45246,42566,2680,2189,1717,472,210848,55881,144481,253692,733073,211582,71515,572666,571442,388756,168746,12288,1653,1224,2931114,15814184
2016:Q3,College,70546147,17988470,15386761,2601708,52557677,6581155,1217892,2873794,2720632,153162,715090,647193,67897,17601598,1039953,1157420,4495324,8655269,7675101,545084,8294255,8272852,5868194,1830149,133466,441044,21403,62251892,42870729
2016:Q3,SomeCollege,16768722,5635824,4431504,1204319,11132899,1404477,179540,516015,503936,12079,112199,96754,15445,1831830,269030,494781,1033730,3718350,1331171,241775,2912025,2906287,1892404,939812,33308,40764,5738,13856697,34430946
2016:Q3,HS,11763148,4513982,3565635,948347,7249166,1013943,101262,201165,193004,8161,52109,43146,8963,1041942,201611,319795,711744,2419190,925938,260467,2144969,2140689,1446880,615657,46661,31491,4280,9618179,32707991
2016:Q3,NoHS,3646191,1499835,1122922,376914,2146356,302087,19646,42450,40429,2020,1672,1672,0,223500,59455,156584,273065,774743,220301,72852,593615,592362,401317,176020,12851,2174,1253,3052577,15972078
2016:Q4,College,70919261,18286577,15660858,2625719,52632684,6664505,1200622,2563480,2563480,0,685396,617984,67412,17781689,1041872,1151255,4549029,8740749,7697165,556922,8347438,8327002,5903175,1866755,130031,427040,20436,62571823,43198467
2016:Q4,SomeCollege,17025883,5757955,4543085,1214870,11267929,1451341,176219,483380,483380,0,112184,96303,15881,1868125,268693,491668,1038703,3778353,1348887,250376,2947288,2941658,1905404,965746,36658,33850,5630,14078596,34667845
2016:Q4,HS,11736544,4520279,3573245,947034,7216265,1021430,99034,180799,180799,0,57921,49118,8803,1062312,199369,315016,710697,2380590,932182,256915,2147199,2143142,1447003,621277,43136,31727,4056,9589345,32244474
2016:Q4,NoHS,3624714,1517979,1143095,374884,2106735,303208,18486,43340,43340,0,1638,1469,169,225127,58180,147574,264010,750319,220298,74555,601364,600182,403240,182658,13569,715,1182,3023350,16094333
2017:Q1,College,72737898,18612450,15958595,2653855,54125448,6829785,1168398,2551354,2551354,0,693947,627665,66283,18745179,1056595,1182156,4764744,8843336,7728272,561682,8403222,8381752,5938278,1878058,124710,440706,21470,64334676,43526148
2017:Q1,SomeCollege,17495267,5865085,4631438,1233647,11630182,1511974,170453,483164,483164,0,119420,103184,16236,2003889,271889,510614,1088275,3847141,1368100,255263,2966439,2960643,1914551,966897,40660,38535,5796,14528828,34898081
2017:Q1,HS,11888753,4546793,3595679,951113,7341961,1036173,96433,179516,179516,0,61575,52959,8616,1161408,200410,321789,740054,2353526,940370,250706,2125338,2121121,1449226,604211,37827,29856,4217,9763416,31826462
2017:Q1,NoHS,3619696,1538026,1158494,379532,2081670,305165,17050,44011,44011,0,1697,1415,282,237837,57339,140571,258379,724753,219883,74986,603293,602093,404273,181283,14251,2286,1199,3016403,16176194
2017:Q2,College,74157664,18964936,16292929,2672007,55192728,6729726,1155865,2620782,2620782,0,676642,610299,66343,19260619,1065064,1202181,4918332,8940914,8053808,568794,8495548,8473743,5984519,1904837,130060,454326,21806,65662115,43853449
2017:Q2,SomeCollege,17913697,5993236,4750715,1242521,11920460,1528685,167861,494516,494516,0,121668,104787,16881,2083991,273267,522968,1120181,3912914,1433030,261381,3002516,2996652,1927985,986161,39317,43189,5865,14911180,35120694
2017:Q2,HS,12007058,4577346,3627532,949814,7429711,1031277,94715,184425,184425,0,66452,57915,8538,1217295,200232,325537,758330,2327800,977719,245929,2139211,2134962,1456416,606370,44083,28093,4249,9867846,31460081
2017:Q2,NoHS,3591431,1552050,1175648,376402,2039382,300964,15891,43446,43446,0,1820,1254,566,243180,56035,132391,249730,696471,223883,75570,609957,608776,405054,185390,14496,3836,1181,2981474,16213210
2017:Q3,College,75427432,19307484,16620898,2686586,56119947,6734832,1205613,2533841,2533841,0,658655,594451,64204,19855506,1078216,1223170,5103984,9037676,8102230,586225,8588948,8567074,6037435,1945443,125642,458555,21873,66838484,44180052
2017:Q3,SomeCollege,18323142,6124757,4877699,1247058,12198384,1562889,175290,483512,483512,0,123706,106567,17139,2174943,275887,535798,1160591,3977800,1455064,272904,3045933,3040037,1945615,1007698,42790,43935,5895,15277209,35334724
2017:Q3,HS,12128475,4608154,3660582,947572,7520321,1036283,95355,178390,178390,0,70936,62606,8330,1282976,201441,329954,783098,2305981,990136,245770,2145838,2141598,1467095,607608,39807,27089,4240,9982636,31151457
